Name,Born,Seasons,From,To,WAR,ASG,G_bat,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,W,L,ERA,ERA+,WHIP,G_pit,GS,SV,IP,SO,Franchises
Alec Marsh,1998,2,2023,2024,0.6,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,12,18,4.96,86.0,1.367,43,33,0,203.33333333333334,208,KCR
Brenton Doyle,1998,3,2023,2025,3.4,0,341,1194,156,272,38,145,60,88,0.228,0.282,0.384,0.665,75,0,0,0.0,0.0,0.0,0,0,0,0.0,0,COL
Blair Henley,1997,1,2024,2024,-0.3,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,135.0,6.0,21.0,1,1,0,0.3333333333333333,0,HOU
James Outman,1997,4,2022,2025,3.4,0,217,656,109,149,30,88,18,89,0.227,0.333,0.407,0.74,103,0,0,0.0,0.0,0.0,0,0,0,0.0,0,LAD
Tony Gonsolin,1994,6,2019,2025,7.6,1,28,30,4,7,0,1,0,1,0.233,0.258,0.267,0.525,40,37,13,3.34,125.0,1.083,86,78,1,411.6666666666667,387,LAD
Kyle Freeland,1993,9,2017,2025,17.8,0,107,173,12,22,1,8,0,8,0.127,0.165,0.168,0.332,-16,61,81,4.52,107.0,1.424,219,214,0,1171.3333333333333,877,COL
Roman Quinn,1993,6,2016,2022,0.7,0,222,535,78,121,8,45,43,48,0.226,0.303,0.348,0.651,76,0,1,18.0,27.0,3.6,3,0,0,5.0,1,"PHI,TBD"
Christian Colón,1989,6,2014,2020,1.3,0,161,378,37,94,1,28,6,31,0.249,0.312,0.31,0.622,70,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"CIN,FLA,KCR"
Jackson Williams,1986,2,2014,2015,0.1,0,14,24,2,5,1,4,1,6,0.208,0.367,0.375,0.742,101,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"COL,SFG"
Efren Navarro,1986,6,2011,2018,0.5,0,157,323,36,78,3,22,2,29,0.241,0.304,0.331,0.635,80,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"ANA,CHC,DET"
Luke Gregerson,1984,11,2009,2019,6.4,0,390,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,35,36,3.15,119.0,1.102,646,0,66,617.3333333333334,621,"HOU,OAK,SDP,STL"
Kevin Melillo,1982,1,2007,2007,0.0,0,1,0,0,0,0,0,0,1,0.0,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,OAK
Roy Halladay HOF,1977,16,1998,2013,64.2,8,115,275,15,34,0,12,0,4,0.124,0.136,0.131,0.267,-27,203,105,3.38,131.0,1.178,416,390,1,2749.3333333333335,2117,"PHI,TOR"
Brian Lawrence,1976,6,2001,2007,7.9,0,160,289,16,38,1,20,0,13,0.131,0.168,0.166,0.334,-9,50,63,4.19,93.0,1.341,168,152,0,963.0,597,"NYM,SDP"
Jim Crowell,1974,3,1997,2005,-0.6,0,10,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0,1,11.37,41.0,2.605,10,1,0,12.666666666666666,6,"CIN,FLA,PHI"
Brad Rigby,1973,3,1997,2000,0.6,0,9,4,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,5,13,5.5,84.0,1.611,73,14,2,175.0,75,"KCR,OAK,WSN"
Anthony Shumaker,1973,1,1999,1999,-0.1,0,8,5,0,1,0,0,0,1,0.2,0.333,0.2,0.533,38,0,3,5.96,82.0,1.632,8,4,0,22.666666666666668,17,PHI
Takashi Kashiwada,1971,1,1997,1997,0.1,0,32,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,3,1,4.31,96.0,1.691,35,0,0,31.333333333333332,19,NYM
Larry Sutton,1970,7,1997,2004,-1.4,0,252,572,63,135,12,78,4,55,0.236,0.302,0.346,0.648,67,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"FLA,KCR,OAK,STL"
Mark Dalesandro,1968,5,1994,2001,-0.5,0,79,129,17,31,3,17,1,3,0.24,0.259,0.364,0.624,60,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"ANA,CHW,TOR"
Joey Cora,1965,11,1987,1998,7.9,1,1119,3734,624,1035,30,294,117,380,0.277,0.348,0.369,0.717,90,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"CHW,CLE,SDP,SEA"
Isidro Márquez,1965,1,1995,1995,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,6.75,70.0,1.65,7,0,0,6.666666666666667,8,CHW
Shawn Barton,1963,3,1992,1996,-0.5,0,59,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,4,2,4.71,87.0,1.431,73,0,1,65.0,29,"SEA,SFG"
Pat Borders,1963,17,1988,2005,3.6,0,1099,3282,289,831,69,346,9,155,0.253,0.288,0.375,0.663,77,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"ANA,CHW,CLE,HOU,KCR,MIN,SEA,STL,TOR"
Brian Greer,1959,2,1977,1979,-0.1,0,5,4,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0,0,0.0,0.0,0.0,0,0,0,0.0,0,SDP
Fran Mullins,1957,3,1980,1986,0.4,0,106,212,20,43,2,18,3,20,0.203,0.269,0.307,0.576,61,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"CHW,CLE,SFG"
Hosken Powell,1955,6,1978,1983,1.4,0,594,1816,241,470,17,160,43,144,0.259,0.314,0.349,0.663,80,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"MIN,TOR"
Dennis Martínez,1954,23,1976,1998,48.7,4,293,520,25,74,0,33,1,15,0.142,0.169,0.165,0.334,-7,245,193,3.7,106.0,1.266,692,562,8,3999.6666666666665,2149,"ATL,BAL,CLE,SEA,WSN"
Dave LaRoche,1948,14,1970,1983,15.1,2,254,61,7,15,0,2,0,7,0.246,0.324,0.295,0.619,76,65,58,3.53,106.0,1.313,647,15,126,1049.3333333333333,819,"ANA,CHC,CLE,MIN,NYY"
Dick Tidrow,1947,13,1972,1984,13.4,0,315,95,6,9,0,7,0,3,0.095,0.122,0.095,0.217,-37,100,94,3.68,102.0,1.308,620,138,55,1746.6666666666667,975,"CHC,CHW,CLE,NYM,NYY"
Jim Driscoll,1944,2,1970,1972,-0.8,0,36,70,2,10,1,2,0,4,0.143,0.2,0.186,0.386,11,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"OAK,TEX"
Tony Pérez HOF,1942,23,1964,1986,53.9,7,2777,9778,1272,2732,379,1652,49,925,0.279,0.341,0.463,0.804,122,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"BOS,CIN,PHI,WSN"
Dick Howser,1936,8,1961,1968,9.3,2,789,2483,398,617,16,165,105,367,0.248,0.346,0.318,0.664,87,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"CLE,NYY,OAK"
Tincy Jamerson,1931,1,1948,1948,-0.1,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,16.2,35.0,4.8,1,1,0,1.6666666666666665,0,KCM
Les Moss,1925,13,1946,1958,1.5,0,824,2234,210,552,63,276,1,282,0.247,0.333,0.369,0.702,87,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"BAL,BOS,CHW"
Harold Millon,1919,2,1946,1947,0.0,0,4,4,0,1,0,0,0,1,0.25,0.4,0.25,0.65,76,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"CAG,IC"
James Brown,1919,5,1939,1947,0.2,0,70,215,24,53,1,23,4,12,0.247,0.286,0.34,0.626,77,4,5,4.76,98.0,1.311,16,8,0,79.33333333333333,35,"IC,NE"
Wimpy Quinn,1918,1,1941,1941,0.0,0,3,2,0,1,0,0,0,0,0.5,0.5,0.5,1.0,187,0,0,7.2,53.0,1.2,3,0,0,5.0,2,CHC
Lee Moody,1917,4,1944,1947,0.7,0,119,450,53,131,2,70,6,16,0.291,0.315,0.36,0.675,99,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"BBB,KCM"
Bob Thurman,1917,8,1946,1959,2.8,0,448,1025,165,282,43,169,11,83,0.275,0.334,0.472,0.806,113,5,9,5.43,72.0,1.537,24,15,0,109.33333333333333,54,"CIN,HG"
Red Hayworth,1916,2,1944,1945,-2.1,0,146,430,27,91,1,42,0,17,0.212,0.243,0.258,0.501,40,0,0,0.0,0.0,0.0,0,0,0,0.0,0,BAL
Albert Zachary,1914,1,1944,1944,-0.5,0,4,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0,2,9.58,38.0,1.645,4,2,0,10.333333333333334,3,LAD
Jim Shilling,1914,1,1939,1939,0.3,0,42,131,11,37,0,16,1,8,0.282,0.324,0.42,0.744,94,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"CLE,PHI"
Howie Gorman,1913,2,1937,1938,-0.3,0,14,20,3,4,0,1,1,1,0.2,0.238,0.25,0.488,29,0,0,0.0,0.0,0.0,0,0,0,0.0,0,PHI
Johnny Babich,1913,5,1934,1941,0.0,0,112,211,14,36,0,10,1,4,0.171,0.194,0.194,0.388,4,30,45,4.93,85.0,1.481,112,86,1,592.0,231,"ATL,LAD,OAK"
Guillermo Molina,1909,2,1929,1930,0.1,0,13,19,0,3,0,1,0,0,0.158,0.158,0.211,0.368,-2,2,4,4.96,92.0,1.605,14,9,0,61.666666666666664,18,CSW
Frog Holsey,1906,5,1928,1932,5.9,0,62,125,10,28,0,5,1,3,0.224,0.242,0.264,0.506,38,21,23,4.15,105.0,1.377,60,39,2,377.0,138,"BEG,CAG"
