Name,Born,Years,WAR,ASG,G_bat,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,W,L,ERA,ERA+,WHIP,G_pit,GS,SV,IP,SO,Franchises
Edd Roush HOF,1893,18,45.8,0,1967,7363,1099,2376,68,981,268,484,0.323,0.369,0.446,0.815,126,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,"CHW,CIN,NEW,SFG"
Red Hoff,1891,4,1.1,0,23,30,0,6,0,2,1,0,0.2,0.2,0.2,0.4,17,2,4.0,2.49,130.0,1.265,23,5,0,83.0,49,"BAL,NYY"
Bill Powell,1885,4,0.6,0,17,26,2,7,0,0,0,1,0.269,0.296,0.308,0.604,73,4,8.0,2.87,110.0,1.406,17,11,0,84.66666666666667,25,"CHC,CIN,PIT"
Barney Schreiber,1882,1,-0.5,0,3,3,1,0,0,0,0,0,0.0,0.25,0.0,0.25,-27,0,0.0,5.4,64.0,2.1,3,0,1,10.0,5,CIN
John Skopec,1880,2,0.5,0,15,43,4,12,1,5,1,2,0.279,0.311,0.395,0.706,102,8,5.0,3.26,101.0,1.542,15,14,0,107.66666666666667,38,"CHW,DET"
Eddie Boyle,1874,1,-0.3,0,5,14,0,0,0,0,0,2,0.0,0.125,0.0,0.125,-65,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,"LOU,PIT"
Tom Bannon,1869,2,-0.4,0,39,166,34,44,0,8,20,8,0.265,0.299,0.331,0.63,64,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,SFG
Dan Brouthers HOF,1858,19,78.7,0,1676,6726,1529,2303,107,1301,257,840,0.342,0.423,0.52,0.944,171,0,2.0,7.83,35.0,2.391,4,2,0,23.0,8,"ATL,BLO,BRS,BUF,DTN,LAD,LOU,PHI,SFG,TRT"
Dasher Troy,1856,5,2.1,0,292,1127,166,274,4,51,0,41,0.243,0.274,0.327,0.601,91,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,"DTN,NYP,PRO,SFG"
Ross Barnes,1850,9,27.7,0,499,2391,698,860,6,346,103,116,0.36,0.389,0.468,0.857,167,0,0.0,20.25,18.0,5.25,1,0,0,1.3333333333333333,0,"ATL,BNA,CHC,CNR"
Jack Chapman,1843,3,0.9,0,113,504,64,124,0,59,6,6,0.246,0.255,0.298,0.553,89,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,"BRA,LGR,SNA"
