Name,Born,Seasons,From,To,WAR,ASG,G_bat,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,W,L,ERA,ERA+,WHIP,G_pit,GS,SV,IP,SO,Franchises
Denzel Clarke,2000,1,2025,2025,1.0,0,47,148,18,34,3,8,6,6,0.23,0.274,0.372,0.646,77,0,0,0.0,0.0,0.0,0,0,0,0.0,0,OAK
Miguel Yajure,1998,3,2020,2022,-1.3,0,3,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,1,3,7.58,56.0,1.705,19,4,1,46.333333333333336,35,"NYY,PIT"
Anderson Tejeda,1998,2,2020,2021,0.2,0,28,91,8,20,3,8,5,3,0.22,0.245,0.385,0.629,70,0,0,0.0,0.0,0.0,0,0,0,0.0,0,TEX
Casey Mize,1997,5,2020,2025,4.2,1,2,2,0,0,0,1,0,1,0.0,0.333,0.0,0.333,7,22,24,4.21,100.0,1.298,85,83,0,416.6666666666667,336,DET
Andre Jackson,1996,3,2021,2023,1.0,0,3,4,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,1,4,4.25,104.0,1.246,26,7,4,82.66666666666667,76,"LAD,PIT"
Tommy Doyle,1996,2,2020,2023,-0.5,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,8.31,61.0,1.769,18,0,0,26.0,20,COL
José Urquidy,1995,5,2019,2023,4.5,0,4,8,0,1,0,0,0,0,0.125,0.125,0.125,0.25,-32,27,16,3.98,104.0,1.143,79,70,1,405.0,326,HOU
Lucas Erceg,1995,3,2023,2025,2.7,0,2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,13,14,3.57,115.0,1.264,169,0,16,174.0,185,"KCR,OAK"
Dillon Tate,1994,6,2019,2025,2.2,0,7,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,7,14,4.09,104.0,1.198,196,0,9,222.0,178,"BAL,TOR"
Zach Vincej,1991,2,2017,2018,-0.1,0,10,13,2,3,0,1,0,1,0.231,0.375,0.231,0.606,68,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"CIN,SEA"
Marcus Stroman,1991,11,2014,2025,21.9,2,56,89,9,9,1,2,1,4,0.101,0.14,0.169,0.308,-16,90,87,3.79,111.0,1.282,270,261,2,1497.3333333333333,1230,"CHC,NYM,NYY,TOR"
A.J. Jiménez,1990,1,2017,2017,-0.3,0,7,12,0,1,0,0,0,0,0.083,0.083,0.083,0.167,-57,0,0,0.0,0.0,0.0,0,0,0,0.0,0,TEX
Scooter Gennett,1990,7,2013,2019,7.0,1,793,2704,365,773,87,360,24,156,0.286,0.327,0.449,0.776,106,0,0,18.0,33.0,3.0,1,0,0,1.0,0,"CIN,MIL,SFG"
