Name,Born,Seasons,From,To,WAR,ASG,G_bat,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,W,L,ERA,ERA+,WHIP,G_pit,GS,SV,IP,SO,Franchises
Chris Rodriguez,1998,1,2021,2021,0.5,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,1,3.64,124.0,1.449,15,2,0,29.666666666666668,29,ANA
Keibert Ruiz,1998,6,2020,2025,4.7,0,474,1727,164,429,44,201,10,91,0.248,0.293,0.372,0.665,87,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"LAD,WSN"
Francisco Pérez,1997,3,2021,2023,-0.2,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,5.91,73.0,1.75,31,1,0,32.0,26,"CLE,OAK,WSN"
Jake Walsh,1995,1,2022,2022,-0.2,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,13.5,33.0,1.875,3,0,0,2.6666666666666665,5,STL
Anthony Alford,1994,6,2017,2022,-0.1,0,102,220,25,46,8,20,11,16,0.209,0.275,0.368,0.643,73,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"PIT,TOR"
Duane Underwood Jr.,1994,6,2018,2023,-0.3,0,52,6,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,5,10,4.63,93.0,1.437,144,2,3,190.66666666666666,179,"CHC,PIT"
Taylor Kohlwey,1994,1,2023,2023,-0.2,0,5,13,0,2,0,0,0,0,0.154,0.154,0.154,0.308,-14,0,0,0.0,0.0,0.0,0,0,0,0.0,0,SDP
Pedro Severino,1993,8,2015,2022,2.2,0,370,1113,107,261,33,134,5,107,0.235,0.306,0.371,0.677,81,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"BAL,MIL,WSN"
Tyrell Jenkins,1992,1,2016,2016,-0.4,0,14,13,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,2,4,5.88,71.0,1.692,14,8,0,52.0,26,ATL
Tyler Webb,1990,5,2017,2021,-1.0,0,104,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,3,3,4.97,84.0,1.368,139,0,2,121.33333333333333,104,"MIL,NYY,SDP,STL"
Mike Marjama,1989,2,2017,2018,0.1,0,15,36,2,6,1,1,0,2,0.167,0.211,0.361,0.572,56,0,0,0.0,0.0,0.0,0,0,0,0.0,0,SEA
Tyler Saladino,1989,5,2015,2019,2.5,0,326,978,109,221,19,92,28,62,0.226,0.278,0.33,0.608,66,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"CHW,MIL"
Steve Selsky,1989,2,2016,2017,0.0,0,32,60,9,17,2,7,1,2,0.283,0.306,0.433,0.74,93,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"BOS,CIN"
Matt Szczur,1989,5,2014,2018,-0.7,0,363,589,80,136,12,61,7,65,0.231,0.312,0.355,0.666,80,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"CHC,SDP"
Kevin Siegrist,1989,5,2013,2017,4.5,0,258,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,18,10,3.04,131.0,1.217,276,0,10,245.66666666666666,286,"PHI,STL"
Ty Kelly,1988,3,2016,2018,0.4,0,118,158,21,32,3,21,0,20,0.203,0.288,0.323,0.611,64,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"NYM,PHI"
Stephen Strasburg,1988,13,2010,2022,32.3,3,233,440,23,67,4,29,0,24,0.152,0.198,0.202,0.4,8,113,62,3.24,127.0,1.096,247,247,0,1470.0,1723,WSN
Danny Dorn,1984,1,2015,2015,-0.3,0,23,30,0,5,0,3,0,2,0.167,0.219,0.2,0.419,14,0,0,0.0,0.0,0.0,0,0,0,0.0,0,ARI
Alexi Casilla,1984,9,2006,2014,3.8,0,578,1696,225,419,12,157,80,130,0.247,0.302,0.331,0.633,73,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"BAL,MIN"
Jason Miller,1982,1,2007,2007,-0.3,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,18.0,26.0,2.5,4,0,0,4.0,2,MIN
Jake Fox,1982,4,2007,2011,-0.8,0,193,489,55,116,20,73,0,27,0.237,0.288,0.425,0.714,87,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"BAL,CHC,OAK"
Bengie Molina,1974,13,1998,2010,10.7,0,1362,4812,457,1317,144,711,3,208,0.274,0.307,0.411,0.718,86,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"ANA,SFG,TEX,TOR"
Ray McDavid,1971,2,1994,1995,-0.4,0,20,45,4,10,0,2,2,3,0.222,0.271,0.244,0.515,39,0,0,0.0,0.0,0.0,0,0,0,0.0,0,SDP
Charles Johnson,1971,12,1994,2005,22.6,2,1188,3836,465,940,167,570,6,475,0.245,0.33,0.433,0.762,97,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"BAL,CHW,COL,FLA,LAD,TBD"
Jim Lewis,1964,1,1991,1991,-0.1,0,12,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0,0,4.15,94.0,1.923,12,0,0,13.0,10,SDP
