Name,Born,Years,WAR,ASG,G_bat,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,W,L,ERA,ERA+,WHIP,G_pit,GS,SV,IP,SO,Franchises
Justin Wrobleski,2000,1,-0.4,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2.0,5.7,68.0,1.376,8,6,1,36.333333333333336,26,LAD
Joey Ortiz,1998,2,2.7,0,157,473,62,112,11,64,11,56,0.237,0.321,0.387,0.708,96,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,"BAL,MIL"
Isaac Mattson,1995,2,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,5.59,83.0,1.655,7,0,0,9.666666666666666,9,"BAL,PIT"
Armando Alvarez,1994,1,-0.4,0,16,37,7,9,0,2,1,2,0.243,0.282,0.27,0.552,63,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,OAK
Andrew Velazquez,1994,6,1.2,0,275,566,77,107,12,40,40,38,0.189,0.244,0.293,0.537,49,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,"ANA,BAL,CLE,NYY,TBD"
Carson Kelly,1994,9,3.9,0,556,1591,190,357,54,207,3,174,0.224,0.307,0.373,0.681,86,0,0.0,7.56,65.0,2.64,8,0,0,8.333333333333334,1,"ARI,DET,STL,TEX"
Lucas Giolito,1994,8,12.5,1,13,18,1,3,0,2,0,0,0.167,0.167,0.167,0.333,-9,61,62.0,4.43,98.0,1.254,180,178,0,1013.6666666666666,1077,"ANA,CHW,CLE,WSN"
Jake Cousins,1994,4,1.7,0,26,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,5,2.0,2.78,150.0,1.246,88,0,1,90.66666666666667,125,"MIL,NYY"
Tyler Alexander,1994,6,3.8,0,4,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,17,28.0,4.55,93.0,1.276,143,52,0,449.0,363,"DET,TBD"
Tim Locastro,1992,7,0.6,0,290,531,100,121,9,38,45,36,0.228,0.327,0.337,0.664,79,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,"ARI,LAD,NYM,NYY"
Jack Leathersich,1990,2,0.4,0,23,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1.0,2.7,156.0,1.74,24,0,0,16.666666666666668,21,"CHC,NYM,PIT"
Rob Brantly,1989,9,-1.5,0,137,423,32,94,7,37,1,33,0.222,0.284,0.322,0.605,66,0,0.0,9.0,65.0,1.0,1,0,0,1.0,0,"CHW,FLA,NYY,PHI,SFG,TBD"
J.C. Gutiérrez,1983,6,-0.6,0,204,7,1,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,7,17.0,4.49,91.0,1.359,264,3,24,286.3333333333333,241,"ANA,ARI,HOU,KCR,SFG"
