Name,Born,Seasons,From,To,WAR,ASG,G_bat,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,W,L,ERA,ERA+,WHIP,G_pit,GS,SV,IP,SO,Franchises
Isaac Collins,1997,2,2024,2025,-0.1,0,28,50,4,10,0,0,3,4,0.2,0.259,0.26,0.519,46,0,0,0.0,0.0,0.0,0,0,0,0.0,0,MIL
Jose Siri,1995,5,2021,2025,5.1,0,366,1107,176,229,54,137,45,76,0.207,0.265,0.403,0.668,87,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"HOU,NYM,TBD"
Tanner Scott,1994,9,2017,2025,9.1,1,10,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,31,24,3.53,126.0,1.341,397,0,63,382.6666666666667,499,"BAL,FLA,LAD,SDP"
Jake Barrett,1991,4,2016,2019,0.7,0,100,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,4,4.45,103.0,1.392,105,0,4,97.0,92,"ARI,NYY"
Kwang Hyun Kim,1988,2,2020,2021,2.1,0,25,26,0,3,0,2,0,0,0.115,0.148,0.154,0.302,-16,10,7,2.97,135.0,1.215,35,28,2,145.66666666666666,104,STL
Denis Phipps,1985,1,2012,2012,0.0,0,8,10,4,3,1,2,0,1,0.3,0.364,0.7,1.064,176,0,0,0.0,0.0,0.0,0,0,0,0.0,0,CIN
Rob Johnson,1982,7,2007,2013,-1.0,0,265,736,62,147,8,64,6,72,0.2,0.275,0.295,0.57,58,0,0,0.0,0.0,0.0,2,0,0,1.3333333333333333,2,"NYM,SDP,SEA,STL"
Ángel Chávez,1981,1,2005,2005,-0.2,0,10,19,1,5,0,1,0,0,0.263,0.263,0.316,0.579,51,0,0,0.0,0.0,0.0,0,0,0,0.0,0,SFG
Ryan Vogelsong,1977,12,2000,2016,1.2,1,274,311,24,43,1,12,0,16,0.138,0.192,0.177,0.369,4,61,75,4.48,84.0,1.408,289,179,0,1190.0,900,"PIT,SFG"
Scot Shields,1975,10,2001,2010,12.2,0,31,4,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,46,44,3.18,139.0,1.244,491,15,21,697.0,631,ANA
Mike Sweeney,1973,16,1995,2010,24.8,5,1454,5188,759,1540,215,909,53,522,0.297,0.366,0.486,0.851,118,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"KCR,OAK,PHI,SEA"
Mike Thurman,1973,6,1997,2002,0.2,0,91,131,6,4,0,0,0,7,0.031,0.086,0.031,0.117,-68,26,36,5.05,89.0,1.473,105,87,0,493.6666666666667,296,"NYY,WSN"
Gary Buckels,1965,1,1994,1994,0.1,0,10,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0,1,2.25,189.0,1.25,10,0,0,12.0,9,STL
Gary Eave,1963,3,1988,1990,0.8,0,8,6,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,2,3,3.56,109.0,1.509,16,8,0,55.666666666666664,25,"ATL,SEA"
Denny González,1963,5,1984,1989,-1.2,0,98,262,29,54,4,18,3,27,0.206,0.283,0.294,0.577,63,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"CLE,PIT"
Bob Porter,1959,2,1981,1982,-0.5,0,41,41,3,7,0,4,0,3,0.171,0.227,0.195,0.422,18,0,0,0.0,0.0,0.0,0,0,0,0.0,0,ATL
DeWayne Vaughn,1959,1,1988,1988,-0.4,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,7.63,54.0,1.826,8,0,0,15.333333333333334,8,TEX
Dave Stieb,1957,16,1979,1998,56.4,7,13,2,2,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,176,137,3.44,122.0,1.245,443,412,3,2895.3333333333335,1669,"CHW,TOR"
Scott Sanderson,1956,19,1978,1996,27.6,1,322,474,20,46,2,26,0,26,0.097,0.151,0.137,0.288,-20,163,143,3.84,102.0,1.255,472,407,5,2561.6666666666665,1611,"ANA,CHC,CHW,NYY,OAK,SFG,WSN"
Kevin Pasley,1953,4,1974,1978,-0.4,0,55,122,8,31,1,9,0,6,0.254,0.289,0.336,0.625,77,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"LAD,SEA"
Tim Johnson,1949,7,1973,1979,-0.6,0,516,1269,116,283,0,84,18,88,0.223,0.275,0.265,0.539,55,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"MIL,TOR"
Jesse Hudson,1948,1,1969,1969,0.0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,4.5,98.0,2.0,1,0,0,2.0,3,NYM
Cliff Johnson,1947,15,1972,1986,16.2,0,1369,3945,539,1016,196,699,9,568,0.258,0.355,0.459,0.815,125,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"CHC,CLE,HOU,NYY,OAK,TEX,TOR"
George Lauzerique,1947,4,1967,1970,-0.5,0,34,33,3,4,1,4,0,0,0.121,0.147,0.212,0.359,1,4,8,5.0,71.0,1.394,34,14,0,113.33333333333333,73,"MIL,OAK"
Bill Zepp,1946,3,1969,1971,0.8,0,63,49,3,6,0,0,0,1,0.122,0.14,0.122,0.262,-28,10,5,3.64,104.0,1.452,63,24,4,188.0,81,"DET,MIN"
Sparky Lyle,1944,16,1967,1982,23.2,3,419,78,8,15,0,4,1,5,0.192,0.241,0.218,0.459,31,99,76,2.88,128.0,1.275,899,0,238,1390.3333333333333,873,"BOS,CHW,NYY,PHI,TEX"
Frank Johnson,1942,6,1966,1971,-2.3,0,196,436,47,92,4,43,2,37,0.211,0.277,0.257,0.534,52,0,0,0.0,0.0,0.0,0,0,0,0.0,0,SFG
Bart Zeller,1941,1,1970,1970,0.0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,STL
R C Stevens,1934,4,1958,1961,0.1,0,104,162,21,34,8,21,1,12,0.21,0.273,0.395,0.668,78,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"PIT,TEX"
Carl Duser,1932,2,1956,1958,-0.2,0,3,3,1,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,1,1,7.88,59.0,2.75,3,2,0,8.0,5,OAK
Stu Locklin,1928,2,1955,1956,-0.3,0,25,24,4,4,0,0,0,3,0.167,0.259,0.208,0.468,25,0,0,0.0,0.0,0.0,0,0,0,0.0,0,CLE
Earl Taborn,1922,3,1946,1948,1.7,0,104,326,41,91,1,45,3,38,0.279,0.361,0.356,0.717,95,0,0,0.0,0.0,0.0,0,0,0,0.0,0,KCM
Jim Rivera,1921,10,1952,1961,6.8,0,1171,3552,503,911,83,422,160,365,0.257,0.328,0.402,0.729,96,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"BAL,CHW,OAK"
Al LaMacchia,1921,3,1943,1946,-0.6,0,16,6,1,0,0,0,0,1,0.0,0.143,0.0,0.143,-58,2,2,6.46,59.0,1.696,16,1,0,30.666666666666668,7,"BAL,MIN"
Phil McCullough,1917,1,1942,1942,-0.1,0,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0,0,6.0,69.0,2.333,1,0,0,3.0,2,MIN
Butch Sutcliffe,1915,1,1938,1938,-0.1,0,4,4,1,1,0,2,0,2,0.25,0.5,0.25,0.75,121,0,0,0.0,0.0,0.0,0,0,0,0.0,0,ATL
Lindsay Brown,1911,1,1937,1937,-0.4,0,48,115,16,31,0,6,1,3,0.27,0.288,0.313,0.601,63,0,0,0.0,0.0,0.0,0,0,0,0.0,0,LAD
George Caithamer,1910,1,1934,1934,0.0,0,5,19,1,6,0,3,0,1,0.316,0.35,0.368,0.718,84,0,0,0.0,0.0,0.0,0,0,0,0.0,0,CHW
Terris McDuffie,1908,11,1930,1945,13.4,3,208,519,72,128,6,67,22,62,0.247,0.329,0.328,0.657,79,41,35,3.82,118.0,1.328,104,77,4,641.0,318,"BBB,BBS,CUP,HG,JRC,NBY,NE,PS"
Doc Cramer,1905,20,1929,1948,13.2,5,2239,9140,1357,2705,37,842,62,572,0.296,0.34,0.375,0.716,87,0,0,4.5,118.0,1.5,1,0,0,4.0,1,"BOS,DET,MIN,OAK"
