Name,Born,Seasons,From,To,WAR,ASG,G_bat,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,W,L,ERA,ERA+,WHIP,G_pit,GS,SV,IP,SO,Franchises
Michael McGreevy,2000,1,2024,2024,0.9,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,0,1.96,217.0,0.783,4,3,0,23.0,18,STL
Dustin Harris,1999,1,2024,2024,0.2,0,2,6,1,2,1,3,0,1,0.333,0.429,1.0,1.429,294,0,0,0.0,0.0,0.0,0,0,0,0.0,0,TEX
Reid Detmers,1999,4,2021,2024,3.3,0,1,1,0,0,0,0,0,1,0.0,0.5,0.0,0.5,56,16,28,4.9,87.0,1.374,75,75,0,385.6666666666667,418,ANA
Tommy Romero,1997,1,2022,2022,-0.5,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,10.8,38.0,2.4,4,2,0,8.333333333333334,7,"TBD,WSN"
Kyle Nelson,1996,5,2020,2024,0.6,0,5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,9,5,4.26,101.0,1.289,133,3,0,114.0,113,"ARI,CLE"
Sam Long,1995,4,2021,2024,0.3,0,11,10,0,1,0,0,0,0,0.1,0.1,0.1,0.2,-45,6,8,4.48,93.0,1.324,123,12,4,170.66666666666666,147,"KCR,OAK,SFG"
Patrick Weigel,1994,2,2020,2021,-0.1,0,3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,7.71,63.0,2.786,4,0,0,4.666666666666667,9,"ATL,MIL"
Stephen Gonsalves,1994,2,2018,2021,-0.6,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,2,6.21,71.0,1.862,10,4,0,29.0,20,"BOS,MIN"
Caleb Frare,1993,2,2018,2019,-0.1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,6.52,71.0,1.655,16,0,0,9.666666666666666,12,CHW
Mike Gerber,1992,2,2018,2019,-1.2,0,30,66,2,5,0,2,0,6,0.076,0.151,0.106,0.257,-29,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"DET,SFG"
Mason Tobin,1987,1,2011,2011,-0.1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,6.75,70.0,1.875,4,0,0,5.333333333333333,0,TEX
Christian Friedrich,1987,4,2012,2016,-0.7,0,117,70,3,5,0,2,0,6,0.071,0.145,0.071,0.216,-40,10,28,5.37,81.0,1.517,124,42,0,296.6666666666667,246,"COL,SDP"
Josh Harrison,1987,13,2011,2023,16.1,2,1208,3997,500,1080,73,388,91,187,0.27,0.316,0.396,0.712,95,0,0,19.8,25.0,4.2,6,0,0,5.0,2,"CHW,DET,OAK,PHI,PIT,WSN"
Jaime García,1986,10,2008,2018,10.7,0,178,309,26,45,3,23,0,12,0.146,0.18,0.191,0.371,2,70,62,3.85,103.0,1.319,218,188,0,1135.0,925,"ATL,CHC,MIN,NYY,STL,TOR"
Kevin Russo,1984,1,2010,2010,0.1,0,31,49,5,9,0,4,1,3,0.184,0.245,0.225,0.47,27,0,0,0.0,0.0,0.0,0,0,0,0.0,0,NYY
John Bowker,1983,4,2008,2011,-1.6,0,240,574,54,133,17,73,2,39,0.232,0.283,0.382,0.665,74,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"PHI,PIT,SFG"
Renyel Pinto,1982,5,2006,2010,3.3,0,234,6,0,0,0,0,0,1,0.0,0.143,0.0,0.143,-58,8,10,3.62,120.0,1.463,244,0,2,231.0,222,FLA
Craig House,1977,1,2000,2000,-0.1,0,16,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,7.24,82.0,2.195,16,0,0,13.666666666666666,8,COL
David Moraga,1975,1,2000,2000,-0.8,0,3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,40.5,16.0,4.5,4,0,0,2.6666666666666665,2,"COL,WSN"
Danny Ardoin,1974,5,2000,2008,0.3,0,165,423,50,87,8,35,2,42,0.206,0.296,0.307,0.603,53,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"BAL,COL,LAD,MIN,TEX"
Rosario Rodríguez,1969,3,1989,1991,0.0,0,34,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,2,2,4.8,81.0,1.5,34,0,6,30.0,18,"CIN,PIT"
Ernie Young,1969,8,1994,2004,-0.3,0,288,796,108,179,27,90,10,90,0.225,0.31,0.378,0.688,77,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"ARI,CLE,DET,KCR,OAK"
Bobby Ayala,1969,8,1992,1999,-1.6,0,120,31,2,2,0,1,0,0,0.065,0.065,0.097,0.161,-57,37,44,4.78,95.0,1.434,406,14,59,576.0,541,"CHC,CIN,SEA,WSN"
Garland Kiser,1968,1,1991,1991,-0.3,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,9.64,47.0,2.357,7,0,0,4.666666666666667,3,CLE
Jerome Walton,1965,10,1989,1998,3.7,0,598,1573,241,423,25,132,58,138,0.269,0.333,0.376,0.708,92,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"ANA,ATL,BAL,CHC,CIN,TBD"
Chuck Malone,1965,1,1990,1990,0.0,0,7,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,3.68,109.0,1.909,7,0,0,7.333333333333333,7,PHI
Bob Kipper,1964,8,1985,1992,-1.3,0,247,95,6,13,0,2,0,2,0.137,0.163,0.158,0.321,-11,27,37,4.34,86.0,1.324,271,45,11,562.0,369,"ANA,MIN,PIT"
Ken Patterson,1964,7,1988,1994,1.8,0,32,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,14,8,3.88,103.0,1.435,224,4,5,317.6666666666667,183,"ANA,CHC,CHW"
Mike Ramsey,1960,1,1987,1987,-0.8,0,48,125,18,29,0,12,2,10,0.232,0.287,0.296,0.583,57,0,0,0.0,0.0,0.0,0,0,0,0.0,0,LAD
Terry Puhl,1956,15,1977,1991,28.3,1,1531,4855,676,1361,62,435,217,505,0.28,0.349,0.388,0.737,112,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"HOU,KCR"
Alan Ashby,1951,17,1973,1989,11.1,0,1370,4123,397,1010,90,513,7,461,0.245,0.32,0.361,0.681,93,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"CLE,HOU,TOR"
Lerrin LaGrow,1948,10,1970,1980,4.3,0,91,13,0,2,0,0,0,0,0.154,0.154,0.154,0.308,-14,34,55,4.11,94.0,1.445,309,67,54,779.0,375,"CHW,DET,LAD,PHI,STL"
Jim Ollom,1945,2,1966,1967,-0.5,0,24,7,0,1,0,0,0,0,0.143,0.143,0.143,0.286,-19,0,1,5.0,72.0,1.133,24,3,0,45.0,28,MIN
George Culver,1943,9,1966,1974,4.7,0,342,161,8,20,0,11,1,4,0.124,0.144,0.149,0.293,-17,48,49,3.62,96.0,1.452,335,57,23,788.6666666666666,451,"CIN,CLE,HOU,LAD,PHI,STL"
Ken Sanders,1941,10,1964,1976,11.2,0,346,52,6,6,0,2,0,5,0.115,0.22,0.115,0.336,-1,29,45,2.97,119.0,1.252,409,1,86,656.6666666666666,360,"ANA,BOS,CLE,KCR,MIL,MIN,NYM,OAK"
Gary Kroll,1941,4,1964,1969,0.4,0,71,32,3,4,0,0,0,0,0.125,0.125,0.156,0.281,-19,6,7,4.24,84.0,1.494,71,13,1,159.33333333333334,138,"CLE,HOU,NYM,PHI"
Darrell Brandon,1940,7,1966,1973,0.3,0,229,122,9,20,0,3,0,5,0.164,0.208,0.221,0.429,21,28,37,4.04,90.0,1.408,228,43,13,590.0,354,"BOS,MIL,MIN,PHI"
Ed Keegan,1939,3,1959,1962,-0.8,0,14,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0,3,9.0,47.0,2.348,13,3,1,23.0,11,"OAK,PHI"
Bill Spanswick,1938,1,1964,1964,-1.0,0,29,14,2,4,0,2,0,2,0.286,0.375,0.286,0.661,84,2,3,6.89,57.0,1.821,29,7,0,65.33333333333333,55,BOS
Al Spangler,1933,13,1959,1971,4.3,0,912,2267,307,594,21,175,37,295,0.262,0.347,0.351,0.698,100,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"ANA,ATL,CHC,HOU"
Zach Monroe,1931,2,1958,1959,-0.2,0,24,17,2,2,0,0,0,0,0.118,0.118,0.177,0.294,-19,4,2,3.38,107.0,1.451,24,6,1,61.333333333333336,19,NYY
Glen Gorbous,1930,3,1955,1957,0.1,0,117,277,29,66,4,29,0,25,0.238,0.3,0.336,0.636,71,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"CIN,PHI"
Eddie Phillips,1930,1,1953,1953,0.0,0,9,0,4,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,STL
Héctor López,1929,12,1955,1966,12.7,0,1450,4644,623,1251,136,591,16,418,0.269,0.33,0.415,0.745,103,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"NYY,OAK"
John Powers,1929,6,1955,1960,-0.2,0,151,215,26,42,6,14,0,22,0.195,0.281,0.33,0.611,64,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"BAL,CIN,CLE,PIT"
Gene Patton,1926,1,1944,1944,0.0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,ATL
Charlie Gilbert,1919,6,1940,1947,-1.1,0,364,852,109,195,5,55,7,86,0.229,0.302,0.299,0.601,71,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"CHC,LAD,PHI"
Allen Reed,1917,1,1940,1940,0.1,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,1,0,0,1.0,1,NE
George Fallon,1914,4,1937,1945,0.4,0,133,282,26,61,1,21,2,25,0.216,0.285,0.27,0.554,55,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"LAD,STL"
Lefty Turner,1912,3,1940,1943,-0.4,0,33,90,9,13,1,8,1,5,0.144,0.19,0.256,0.445,30,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"BEG,PC,SNH"
Salty Parker,1912,1,1936,1936,0.1,0,11,25,6,7,0,4,0,2,0.28,0.333,0.36,0.693,71,0,0,0.0,0.0,0.0,0,0,0,0.0,0,DET
Clint Brown,1903,15,1928,1942,20.8,0,437,457,42,91,2,46,1,45,0.199,0.274,0.263,0.536,37,89,93,4.26,109.0,1.419,434,130,64,1485.6666666666667,410,"CHW,CLE"
Tex Wilson,1901,1,1924,1924,-0.3,0,2,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0,0,14.73,28.0,2.182,2,0,0,3.6666666666666665,1,LAD
Roy Crumpler,1896,2,1920,1925,-0.2,0,7,11,1,3,0,0,0,0,0.273,0.273,0.546,0.818,112,1,0,6.11,68.0,2.151,5,3,0,17.666666666666668,3,"DET,PHI"
Dan Woodman,1893,2,1914,1915,-0.2,0,19,11,0,2,0,0,0,0,0.182,0.182,0.182,0.364,4,0,0,2.94,112.0,1.306,18,1,1,49.0,14,BFL
Bill Brown,1893,1,1912,1912,-0.3,0,9,20,0,4,0,1,0,0,0.2,0.2,0.2,0.4,16,0,0,0.0,0.0,0.0,0,0,0,0.0,0,BAL
Clyde Barfoot,1891,3,1922,1926,1.2,0,90,76,5,20,0,5,0,6,0.263,0.317,0.316,0.633,68,8,10,4.1,95.0,1.434,86,5,9,250.33333333333334,49,"DET,STL"
Ivey Wingo,1890,17,1911,1929,17.8,0,1327,4003,362,1039,25,455,87,264,0.26,0.307,0.356,0.663,90,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"CIN,STL"
Lefty Russell,1890,3,1910,1912,-1.3,0,13,20,2,5,0,2,0,1,0.25,0.286,0.25,0.536,54,1,5,6.36,48.0,1.81,13,5,0,58.0,21,OAK
Wally Mayer,1890,7,1911,1919,0.6,0,132,274,22,53,0,20,1,42,0.193,0.303,0.266,0.569,68,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"BAL,BOS,CHW"
Rowdy Elliott,1890,5,1910,1920,1.0,0,157,402,36,97,1,44,5,19,0.241,0.281,0.311,0.592,73,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"ATL,CHC,LAD"
Joe Martina,1889,1,1924,1924,0.8,0,25,43,2,14,0,6,0,2,0.326,0.37,0.372,0.742,93,6,8,4.67,87.0,1.476,24,14,0,125.33333333333333,57,MIN
George Hunter,1887,2,1909,1910,0.3,0,45,123,8,28,0,8,1,9,0.228,0.286,0.285,0.57,80,4,10,2.46,106.0,1.253,16,13,0,113.33333333333333,43,LAD
Bill Hunter,1887,1,1912,1912,-0.3,0,21,55,6,9,0,2,0,10,0.164,0.303,0.2,0.503,42,0,0,0.0,0.0,0.0,0,0,0,0.0,0,CLE
Jim Bluejacket,1887,3,1914,1916,-0.3,0,44,85,4,11,0,3,0,2,0.129,0.159,0.153,0.312,-9,14,17,3.46,90.0,1.441,44,30,1,236.66666666666666,78,"BTT,CIN"
Joe Crisp,1885,2,1910,1911,0.0,0,2,2,0,1,0,0,0,0,0.5,0.5,0.5,1.0,203,0,0,0.0,0.0,0.0,0,0,0,0.0,0,BAL
Ducky Holmes,1883,1,1906,1906,0.0,0,9,27,2,5,0,2,0,2,0.185,0.267,0.185,0.452,44,0,0,0.0,0.0,0.0,0,0,0,0.0,0,STL
Oscar Westerberg,1882,1,1907,1907,0.1,0,2,6,0,2,0,1,0,1,0.333,0.429,0.333,0.762,140,0,0,0.0,0.0,0.0,0,0,0,0.0,0,ATL
Buttons Briggs,1875,5,1896,1905,5.6,0,106,324,19,48,1,17,1,19,0.148,0.195,0.182,0.377,6,44,47,3.41,105.0,1.415,106,97,4,855.6666666666666,338,CHC
Johnny Siegle,1874,2,1905,1906,-0.3,0,39,124,13,25,1,15,0,10,0.202,0.277,0.315,0.592,75,0,0,0.0,0.0,0.0,0,0,0,0.0,0,CIN
Jay Parker,1874,1,1899,1899,0.0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,inf,9.0,0.0,1,1,0,0.0,0,PIT
Frank Sexton,1872,1,1895,1895,0.3,0,10,26,3,7,0,3,0,1,0.269,0.296,0.269,0.566,43,1,5,5.69,88.0,1.653,7,5,0,49.0,14,ATL
Ira Davis,1870,1,1899,1899,0.0,0,6,17,3,4,0,2,1,0,0.235,0.235,0.412,0.647,78,0,0,0.0,0.0,0.0,0,0,0,0.0,0,SFG
Harry Gilbert,1868,1,1890,1890,0.0,0,2,8,1,2,0,0,0,0,0.25,0.25,0.25,0.5,53,0,0,0.0,0.0,0.0,0,0,0,0.0,0,PIT
Ed Pabst,1867,1,1890,1890,0.3,0,12,39,8,12,0,3,3,5,0.308,0.386,0.41,0.797,130,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"PHA,STL"
Hank O'Day HOF,1859,7,1884,1890,6.3,0,232,817,76,155,1,46,7,39,0.19,0.228,0.224,0.452,35,73,110,3.74,97.0,1.352,201,192,4,1651.3333333333333,663,"NYI,PIT,SFG,TOL,WNL"
Lester Dole,1855,1,1875,1875,0.1,0,1,4,1,2,0,0,0,0,0.5,0.5,0.5,1.0,267,0,0,0.0,0.0,0.0,0,0,0,0.0,0,NHV
