Name,Born,Seasons,From,To,WAR,ASG,G_bat,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,W,L,ERA,ERA+,WHIP,G_pit,GS,SV,IP,SO,Franchises
Jairo Iriarte,2001,1,2024,2024,0.1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,1.5,293.0,1.833,6,0,0,6.0,6,CHW
Drew Rom,1999,1,2023,2023,-1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,4,8.02,55.0,2.079,8,8,0,33.666666666666664,32,STL
Garrett McDaniels,1999,1,2025,2025,-0.2,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,5.91,72.0,1.969,10,0,0,10.666666666666666,6,ANA
Joey Bart,1996,6,2020,2025,3.0,0,286,856,104,202,25,94,3,75,0.236,0.313,0.368,0.681,91,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"PIT,SFG"
Jonathan India,1996,5,2021,2025,6.3,0,582,2131,334,538,65,246,42,260,0.252,0.35,0.402,0.752,102,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"CIN,KCR"
Johneshwy Fargas,1994,1,2021,2021,0.1,0,22,52,4,13,0,5,1,1,0.25,0.264,0.385,0.649,74,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"CHC,NYM"
David MacKinnon,1994,1,2022,2022,-0.4,0,22,50,2,7,0,6,0,6,0.14,0.228,0.14,0.368,9,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"ANA,OAK"
Luis Marté,1993,1,2021,2021,-0.1,0,4,6,2,1,0,0,0,1,0.167,0.286,0.167,0.452,28,0,0,0.0,0.0,0.0,0,0,0,0.0,0,FLA
Ryan Eades,1991,1,2019,2019,0.3,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,2.38,207.0,1.5,8,0,0,11.333333333333334,10,"BAL,MIN"
Kyle Crockett,1991,5,2014,2018,1.0,0,24,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,5,1,3.74,114.0,1.393,122,0,0,74.66666666666667,73,"CIN,CLE"
Trevor Hildenberger,1990,4,2017,2021,-1.3,0,13,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,9,11,5.52,79.0,1.406,134,0,9,133.66666666666666,133,"MIN,NYM"
Ryan Pressly,1988,13,2013,2025,9.7,2,36,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,37,38,3.3,128.0,1.177,648,0,116,673.0,706,"CHC,HOU,MIN"
Scott Copeland,1987,2,2015,2018,-0.2,0,2,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,1,1,5.94,71.0,1.62,6,3,0,16.666666666666668,8,"NYM,TOR"
Nick Buss,1986,2,2013,2016,-0.6,0,44,100,7,18,1,8,2,7,0.18,0.229,0.3,0.529,46,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"ANA,LAD"
James Houser,1984,1,2010,2010,-0.2,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,20.25,26.0,3.0,1,0,0,1.3333333333333333,1,FLA
Cole Garner,1984,1,2011,2011,-0.1,0,4,9,1,2,0,3,0,1,0.222,0.3,0.222,0.522,37,0,0,0.0,0.0,0.0,0,0,0,0.0,0,COL
Luis Montañez,1981,4,2008,2011,-1.3,0,129,305,31,68,5,32,1,12,0.223,0.258,0.328,0.586,56,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"BAL,CHC"
Andy González,1981,3,2007,2009,-1.7,0,91,225,21,41,3,13,1,31,0.182,0.281,0.258,0.539,42,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"CHW,CLE,FLA"
Kevin Cameron,1979,3,2007,2009,0.5,0,57,5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,2,0,3.02,136.0,1.483,69,0,1,86.33333333333333,70,"OAK,SDP"
Michael Wuertz,1978,8,2004,2011,5.1,0,267,6,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,21,11,3.71,120.0,1.32,426,0,11,414.3333333333333,444,"CHC,OAK"
Aaron Miles,1976,9,2003,2011,1.0,0,932,2827,347,793,19,229,30,162,0.281,0.32,0.352,0.672,75,0,0,3.6,141.0,1.0,5,0,0,5.0,0,"CHC,CHW,COL,LAD,STL"
Edgard Clemente,1975,3,1998,2000,-1.7,0,114,257,30,64,8,32,0,9,0.249,0.276,0.412,0.689,61,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"ANA,COL"
Héctor Ramírez,1971,2,1999,2000,0.3,0,21,4,0,1,0,0,0,0,0.25,0.25,0.25,0.5,29,1,3,5.4,86.0,1.533,21,0,0,30.0,13,MIL
Rick Helling,1970,12,1994,2006,20.2,0,116,104,4,6,0,1,0,8,0.058,0.133,0.067,0.2,-46,93,81,4.68,101.0,1.377,301,234,0,1526.3333333333333,1058,"ARI,BAL,FLA,MIL,TEX"
Robert Ellis,1970,4,1996,2003,-0.6,0,20,26,2,4,0,1,0,1,0.154,0.185,0.154,0.339,-13,7,7,6.03,79.0,1.576,29,21,0,118.0,54,"ANA,ARI,LAD,TEX"
Mo Vaughn,1967,12,1991,2003,27.1,3,1512,5532,861,1620,328,1064,30,725,0.293,0.383,0.523,0.906,132,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"ANA,BOS,NYM"
Terry Bulling,1952,4,1977,1983,0.2,0,138,345,34,77,3,28,2,45,0.223,0.315,0.281,0.596,67,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"MIN,SEA"
Jimmy Sexton,1951,6,1977,1983,0.5,0,236,372,53,81,5,24,36,32,0.218,0.279,0.298,0.578,65,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"HOU,OAK,SEA,STL"
Chuck Hockenbery,1950,1,1975,1975,-0.5,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,5,5.27,68.0,1.634,16,4,1,41.0,15,ANA
Mike Proly,1950,7,1976,1983,8.6,0,153,32,1,5,0,1,0,1,0.156,0.182,0.188,0.369,2,22,29,3.23,121.0,1.33,267,18,22,545.6666666666666,185,"CHC,CHW,PHI,STL"
Doug Rau,1948,9,1972,1981,12.6,0,219,377,21,58,0,21,0,28,0.154,0.213,0.167,0.38,8,81,60,3.35,105.0,1.301,222,187,3,1261.0,697,"ANA,LAD"
Ken Crosby,1947,2,1975,1976,-0.4,0,16,2,1,1,0,0,0,1,0.5,0.667,0.5,1.167,225,1,0,8.41,47.0,2.213,16,1,0,20.333333333333332,11,CHC
Art Howe,1946,11,1974,1985,13.9,0,891,2626,268,682,43,293,10,275,0.26,0.329,0.379,0.708,103,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"HOU,PIT,STL"
Gil Blanco,1945,2,1965,1966,-0.6,0,28,12,0,2,0,2,0,0,0.167,0.167,0.167,0.333,-2,3,5,4.45,78.0,1.619,28,9,0,58.666666666666664,35,"NYY,OAK"
Stan Bahnsen,1944,16,1966,1982,22.7,0,414,479,22,56,1,19,0,19,0.117,0.152,0.148,0.3,-13,146,149,3.6,97.0,1.33,574,327,20,2529.0,1359,"ANA,CHW,NYY,OAK,PHI,WSN"
