Name,Born,Seasons,From,To,WAR,ASG,G_bat,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,W,L,ERA,ERA+,WHIP,G_pit,GS,SV,IP,SO,Franchises
Henry Nears,1907,1,1940,1940,0.0,0,5,12,0,5,0,3,0,0,0.417,0.417,0.417,0.833,149,0,0,0.0,0.0,0.0,0,0,0,0.0,0,MRS
Bobby Stevens,1907,1,1931,1931,0.0,0,12,35,3,12,0,4,0,2,0.343,0.41,0.343,0.753,98,0,0,0.0,0.0,0.0,0,0,0,0.0,0,PHI
Eddie Delker,1906,4,1929,1933,-1.9,0,98,187,19,29,1,15,0,16,0.155,0.229,0.251,0.481,24,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"PHI,STL"
Elmer Miller,1903,1,1929,1929,-0.5,0,31,38,3,9,1,4,0,1,0.237,0.256,0.342,0.599,43,0,1,11.12,48.0,2.912,8,2,0,11.333333333333334,5,PHI
Bob Osborn,1903,6,1925,1931,1.8,0,121,144,2,22,0,11,0,0,0.153,0.153,0.181,0.333,-14,27,17,4.32,97.0,1.588,121,43,2,446.3333333333333,140,"CHC,PIT"
Morrie Schick,1892,1,1917,1917,-0.4,0,14,34,3,5,0,3,0,3,0.147,0.216,0.147,0.363,9,0,0,0.0,0.0,0.0,0,0,0,0.0,0,CHC
Scott Perry,1891,7,1915,1921,12.9,0,132,296,7,40,1,10,1,12,0.135,0.172,0.166,0.337,-5,40,68,3.07,112.0,1.356,132,104,5,893.3333333333334,231,"BAL,CHC,CIN,OAK"
Jake Daubert,1884,15,1910,1924,39.4,0,2014,7673,1117,2326,56,722,251,623,0.303,0.36,0.401,0.76,117,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"CIN,LAD"
Tom Needham,1879,11,1904,1914,2.5,0,523,1491,114,311,8,119,20,109,0.209,0.274,0.272,0.546,67,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"ATL,CHC,SFG"
Mike Jacob,1876,1,1902,1902,0.0,0,5,19,1,4,0,2,0,0,0.211,0.211,0.211,0.421,32,0,0,0.0,0.0,0.0,0,0,0,0.0,0,CHC
Charlie Jaeger,1875,1,1904,1904,-0.8,0,8,17,0,1,0,0,0,1,0.059,0.111,0.059,0.17,-45,3,3,2.57,100.0,1.306,8,6,0,49.0,13,DET
Ad Yale,1870,1,1905,1905,-0.2,0,4,13,1,1,0,1,0,1,0.077,0.143,0.077,0.22,-32,0,0,0.0,0.0,0.0,0,0,0,0.0,0,LAD
John Grimes,1869,1,1897,1897,-0.3,0,3,7,0,2,0,1,0,3,0.286,0.5,0.286,0.786,113,0,2,5.95,75.0,1.627,3,1,0,19.666666666666668,4,STL
Walter Fisher,1867,1,1889,1889,0.0,0,1,2,0,1,0,0,0,0,0.5,0.5,0.5,1.0,188,0,0,0.0,0.0,0.0,0,0,0,0.0,0,LOU
Jersey Bakley,1864,6,1883,1891,1.1,0,222,727,70,111,2,33,2,83,0.153,0.242,0.188,0.431,34,76,125,3.66,94.0,1.387,215,204,0,1782.6666666666667,669,"BLO,CLI,CLV,KCU,PHA,PHK,WAS,WIL"
Charlie Ferguson,1863,4,1884,1887,31.7,0,257,963,191,277,6,157,22,113,0.288,0.364,0.372,0.735,124,99,64,2.67,120.0,1.117,183,170,4,1514.6666666666667,728,PHI
Henry Mullin,1862,1,1884,1884,-0.9,0,36,128,14,17,0,0,0,8,0.133,0.184,0.172,0.356,22,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"BRD,WST"
Cap Anson HOF,1852,27,1871,1897,94.3,0,2524,10281,1999,3435,97,2075,277,984,0.334,0.394,0.447,0.841,142,0,1,4.5,89.0,1.5,3,0,1,4.0,1,"CHC,PNA,ROK"
