Name,Born,Seasons,From,To,WAR,ASG,G_bat,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,W,L,ERA,ERA+,WHIP,G_pit,GS,SV,IP,SO,Franchises
Didier Fuentes,2005,1,2025,2025,-1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,3,13.85,30.0,2.231,4,4,0,13.0,12,ATL
Mason Montgomery,2000,2,2024,2025,-0.4,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,4.83,84.0,1.537,49,0,1,41.0,58,TBD
Shane Baz,1999,4,2021,2025,3.6,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,15,10,3.76,106.0,1.163,42,42,0,229.66666666666666,224,TBD
Blaine Crim,1997,1,2025,2025,-0.2,0,5,11,1,0,0,0,0,1,0.0,0.154,0.0,0.154,-49,0,0,0.0,0.0,0.0,0,0,0,0.0,0,TEX
Ryan Fitzgerald,1994,1,2025,2025,-0.1,0,2,3,1,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0,0,0.0,0.0,0.0,0,0,0,0.0,0,MIN
Yusei Kikuchi,1991,7,2019,2025,7.6,2,2,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,45,53,4.39,95.0,1.349,187,175,1,927.6666666666666,960,"ANA,HOU,SEA,TOR"
Matt Barnes,1990,11,2014,2024,4.1,1,25,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,33,30,4.21,108.0,1.36,467,3,47,466.3333333333333,586,"BOS,FLA,WSN"
Andrew Chafin,1990,12,2014,2025,7.6,0,350,5,0,1,0,1,0,0,0.2,0.2,0.2,0.4,10,21,27,3.4,125.0,1.285,623,3,20,524.6666666666666,571,"ARI,CHC,DET,MIL,OAK,TEX,WSN"
David Pauley,1983,5,2006,2012,1.0,0,9,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,9,19,4.68,87.0,1.44,91,20,0,209.66666666666666,122,"ANA,BOS,DET,SEA,TOR"
Dernell Stenson,1978,1,2003,2003,0.1,0,37,81,14,20,3,13,0,11,0.247,0.333,0.42,0.753,100,0,0,0.0,0.0,0.0,0,0,0,0.0,0,CIN
Donnie Sadler,1975,8,1998,2007,-0.9,0,418,768,125,155,6,46,25,55,0.202,0.262,0.284,0.546,39,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"ARI,BOS,CIN,KCR,TEX"
