Name,Born,Seasons,From,To,WAR,ASG,G_bat,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,W,L,ERA,ERA+,WHIP,G_pit,GS,SV,IP,SO,Franchises
Liam Hicks,1999,1,2025,2025,0.1,0,22,62,6,15,1,15,0,6,0.242,0.324,0.339,0.663,82,0,0,0.0,0.0,0.0,0,0,0,0.0,0,FLA
Caleb Kilian,1997,3,2022,2024,-1.1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,4,9.22,47.0,2.012,8,5,0,27.333333333333332,21,CHC
Mickey McDonald,1995,1,2022,2022,0.0,0,4,4,0,0,0,0,0,2,0.0,0.333,0.0,0.333,10,0,0,0.0,0.0,0.0,0,0,0,0.0,0,OAK
Andrew Moore,1994,2,2017,2019,-0.1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,5,5.51,77.0,1.178,12,10,0,63.666666666666664,33,SEA
Kaleb Cowart,1992,5,2015,2019,-1.3,0,171,370,42,65,6,34,7,26,0.176,0.238,0.292,0.53,45,0,0,0.0,0.0,0.0,0,0,0,0.0,0,ANA
Jake Smith,1990,1,2016,2016,0.0,0,4,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,4.5,97.0,1.5,4,0,0,4.0,3,SDP
Chris Martin,1986,10,2014,2025,7.5,0,88,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,16,22,3.33,135.0,1.126,385,0,15,362.3333333333333,375,"ATL,BOS,CHC,COL,LAD,NYY,TEX"
Josh Geer,1983,2,2008,2009,-0.7,0,22,33,3,5,0,2,0,3,0.152,0.222,0.182,0.404,14,3,8,5.28,72.0,1.365,24,22,0,129.66666666666666,70,SDP
Tim Stauffer,1982,10,2005,2015,3.8,0,183,140,7,21,0,12,0,4,0.15,0.178,0.171,0.35,-1,33,34,3.97,92.0,1.331,201,73,0,595.6666666666666,449,"MIN,NYM,SDP"
Jared Burton,1981,8,2007,2014,4.7,0,168,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,18,19,3.44,122.0,1.238,367,0,10,361.0,305,"CIN,MIN"
Chin-hui Tsao,1981,6,2003,2016,0.0,0,55,14,3,3,0,0,0,0,0.214,0.214,0.357,0.571,39,5,6,5.75,83.0,1.495,57,8,4,97.0,67,"COL,LAD"
Wascar Serrano,1978,1,2001,2001,-0.8,0,20,9,0,1,0,0,0,0,0.111,0.111,0.111,0.222,-40,3,3,6.56,61.0,1.736,20,5,0,46.666666666666664,39,SDP
Steve Rain,1975,2,1999,2000,-0.3,0,50,2,0,0,0,0,0,1,0.0,0.333,0.0,0.333,-4,3,5,5.46,84.0,1.679,53,0,0,64.33333333333333,66,CHC
Neifi Pérez,1973,12,1996,2007,2.6,0,1403,5127,640,1370,64,489,57,231,0.267,0.297,0.375,0.672,64,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"CHC,COL,DET,KCR,SFG"
Raúl Ibañez,1972,19,1996,2014,20.9,1,2161,7471,1055,2034,305,1207,50,713,0.272,0.335,0.465,0.801,111,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"ANA,KCR,NYY,PHI,SEA"
Chance Sanford,1972,2,1998,1999,-0.7,0,19,36,4,6,0,5,0,1,0.167,0.189,0.25,0.439,14,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"LAD,PIT"
Reid Cornelius,1970,3,1995,2000,0.7,0,44,62,1,8,0,1,0,0,0.129,0.129,0.161,0.29,-24,8,17,4.91,88.0,1.474,45,33,0,211.0,101,"FLA,NYM,WSN"
Mike Kelly,1970,6,1994,1999,0.3,0,327,684,111,165,22,86,30,54,0.241,0.3,0.421,0.721,85,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"ATL,CIN,COL,TBD"
Kurt Abbott,1969,9,1993,2001,0.5,0,702,2044,273,523,62,242,22,133,0.256,0.305,0.423,0.728,86,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"ATL,COL,FLA,NYM,OAK"
Mike Stanton,1967,19,1989,2007,14.3,1,639,24,3,8,0,3,0,1,0.333,0.36,0.375,0.735,96,68,63,3.92,112.0,1.352,1178,1,84,1114.0,895,"ATL,BOS,CIN,NYM,NYY,SFG,TEX,WSN"
Bryan Harvey,1963,9,1987,1995,12.3,2,75,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,17,25,2.49,162.0,1.09,322,0,177,387.0,448,"ANA,FLA"
Darnell Coles,1962,14,1983,1997,-1.5,0,957,2891,333,709,75,368,20,237,0.245,0.307,0.382,0.689,88,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"CIN,COL,DET,PIT,SEA,SFG,STL,TOR"
Jeff Schulz,1961,3,1989,1991,0.0,0,40,78,5,19,0,7,0,6,0.244,0.298,0.333,0.631,78,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"KCR,PIT"
Lemmie Miller,1960,1,1984,1984,-0.1,0,8,12,1,2,0,0,0,1,0.167,0.231,0.167,0.398,15,0,0,0.0,0.0,0.0,0,0,0,0.0,0,LAD
Jack O'Connor,1958,6,1981,1987,-0.5,0,20,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,14,17,4.89,86.0,1.588,129,28,2,318.6666666666667,177,"BAL,MIN,WSN"
Kelvin Chapman,1956,3,1979,1985,-0.7,0,172,421,50,94,3,34,13,33,0.223,0.284,0.295,0.579,64,0,0,0.0,0.0,0.0,0,0,0,0.0,0,NYM
Mike Davey,1952,2,1977,1978,0.3,0,19,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0,0,4.34,105.0,1.607,19,0,2,18.666666666666668,7,ATL
Jack Pierce,1949,3,1973,1975,-0.7,0,70,199,20,42,8,22,0,22,0.211,0.293,0.372,0.665,84,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"ATL,DET"
Joe Pactwa,1948,1,1975,1975,0.3,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,3.86,94.0,2.02,4,3,0,16.333333333333332,3,ANA
Roger Freed,1946,8,1970,1979,1.0,0,344,717,49,176,22,109,1,95,0.246,0.334,0.381,0.715,100,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"BAL,CIN,PHI,STL,WSN"
Bob Saverine,1941,6,1959,1967,1.9,0,379,861,114,206,6,47,23,73,0.239,0.299,0.306,0.604,76,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"BAL,TEX"
Jim Maloney,1940,12,1960,1971,37.5,1,321,628,51,126,7,53,2,33,0.201,0.241,0.28,0.521,44,134,84,3.19,115.0,1.259,302,262,4,1849.0,1605,"ANA,CIN"
Horace Clarke,1939,10,1965,1974,15.6,0,1272,4813,548,1230,27,304,151,365,0.256,0.308,0.313,0.621,83,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"NYY,SDP"
Gene Michael,1938,10,1966,1975,0.0,0,973,2806,249,642,15,226,22,234,0.229,0.288,0.284,0.572,67,0,0,0.0,0.0,1.667,1,0,0,3.0,3,"DET,LAD,NYY,PIT"
Lee Gregory,1938,1,1964,1964,0.2,0,19,13,0,1,0,0,0,3,0.077,0.25,0.077,0.327,-4,0,0,3.5,108.0,1.556,11,0,0,18.0,8,CHC
Jerry Lumpe,1933,12,1956,1967,15.4,1,1371,4912,620,1314,47,454,20,428,0.268,0.325,0.356,0.681,87,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"DET,NYY,OAK"
Benny Valenzuela,1933,1,1958,1958,-0.1,0,10,14,0,3,0,0,0,1,0.214,0.267,0.286,0.552,44,0,0,0.0,0.0,0.0,0,0,0,0.0,0,STL
Lou Skizas,1932,4,1956,1959,1.7,0,239,725,80,196,30,86,8,50,0.27,0.317,0.443,0.76,103,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"CHW,DET,NYY,OAK"
Marshall Bridges,1931,7,1959,1965,2.8,0,206,59,6,7,1,6,0,3,0.119,0.175,0.22,0.395,5,23,15,3.75,103.0,1.465,206,5,25,345.3333333333333,302,"CIN,NYY,STL,TEX"
Larry Jackson,1931,14,1955,1968,52.0,5,599,1089,77,170,2,48,2,41,0.156,0.19,0.193,0.382,5,194,183,3.4,113.0,1.235,558,429,20,3262.6666666666665,1709,"CHC,PHI,STL"
Bob Lillis,1930,10,1958,1967,-3.6,0,817,2328,198,549,3,137,23,99,0.236,0.27,0.277,0.546,55,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"HOU,LAD,STL"
René Valdés,1929,1,1957,1957,-0.1,0,5,3,1,0,0,0,0,2,0.0,0.4,0.0,0.4,16,1,1,5.54,76.0,1.538,5,1,0,13.0,10,LAD
