Name,Born,Years,WAR,ASG,G_bat,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,W,L,ERA,ERA+,WHIP,G_pit,GS,SV,IP,SO,Franchises
Minnie Miñoso HOF,1923,20,53.3,13,1948,7059,1228,2113,195,1089,216,848,0.299,0.387,0.461,0.848,130,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,"CHW,CLE,NYC,STL,TEX"
Lynn Lovenguth,1922,2,0.4,0,17,4,1,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0,2.0,3.67,111.0,1.444,16,1,0,27.0,20,"PHI,STL"
Armando Torres,1915,1,-0.8,0,5,6,1,1,0,1,0,1,0.167,0.286,0.167,0.452,25,0,2.0,11.05,44.0,2.318,5,2,0,14.666666666666666,5,NYC
Joe Orengo,1914,6,1.5,0,366,1120,129,266,17,122,12,156,0.238,0.332,0.346,0.678,89,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,"CHW,DET,LAD,SFG,STL"
Harry Boyles,1911,2,-0.8,0,11,9,0,1,0,0,0,0,0.111,0.111,0.111,0.222,-45,0,4.0,5.79,87.0,2.02,11,2,1,32.666666666666664,19,CHW
Ed Leip,1910,4,0.1,0,30,62,7,17,0,5,1,3,0.274,0.308,0.355,0.663,80,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,"MIN,PIT"
Jack Thornton,1909,1,0.1,0,3,11,1,4,0,3,0,1,0.364,0.417,0.364,0.78,145,0,0.0,4.5,94.0,1.0,1,0,0,2.0,2,BCA
Gus Brittain,1909,1,-0.1,0,3,6,0,1,0,0,0,0,0.167,0.167,0.167,0.333,-7,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,CIN
Pat Simmons,1908,2,0.9,0,33,16,0,2,0,1,0,1,0.125,0.177,0.125,0.302,-18,0,2.0,3.67,112.0,1.526,33,3,2,76.0,18,BOS
Harlan Pyle,1905,1,-0.2,0,2,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0,0.0,20.25,25.0,3.75,2,1,0,1.3333333333333333,1,CIN
Maurice Young,1904,1,1.2,0,12,25,1,5,0,2,0,1,0.2,0.231,0.24,0.471,28,3,4.0,3.32,113.0,1.246,11,9,0,65.0,21,KCM
Buddy Crump,1901,1,-0.2,0,1,4,0,0,0,1,0,0,0.0,0.0,0.0,0.0,-100,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,SFG
Red Shea,1898,3,-0.2,0,23,19,0,1,0,1,0,0,0.053,0.053,0.053,0.105,-72,5,5.0,3.8,99.0,1.234,23,4,0,64.0,17,"OAK,SFG"
Joe DeBerry,1896,2,-0.3,0,20,20,1,3,0,0,0,1,0.15,0.191,0.2,0.391,2,2,5.0,5.24,77.0,1.642,20,8,0,67.0,13,BAL
Jack Enright,1895,1,-0.2,0,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0,1.0,5.4,55.0,1.6,1,1,0,5.0,1,NYY
Charlie Mason,1894,8,5.5,0,327,1210,241,375,38,238,47,118,0.31,0.376,0.472,0.848,125,1,2.0,9.37,57.0,2.449,4,3,0,16.333333333333332,5,"BAG,BBS,CUP,HG,NLG,NS,WAP"
Charlie Snell,1893,1,0.3,0,8,19,0,4,0,0,0,3,0.211,0.348,0.263,0.611,78,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,BAL
Carter Elliott,1893,1,0.1,0,12,28,5,7,0,0,0,5,0.25,0.364,0.321,0.685,83,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,CHC
Carl Weilman,1889,8,24.2,0,240,505,28,86,0,25,2,33,0.17,0.223,0.184,0.407,20,84,93.0,2.67,112.0,1.191,239,179,10,1521.0,536,BAL
Scotty Alcock,1885,1,-0.6,0,54,156,12,27,0,7,4,7,0.173,0.213,0.224,0.438,32,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,CHW
Jack Wanner,1885,1,-0.1,0,3,8,0,1,0,0,1,2,0.125,0.3,0.125,0.425,35,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,NYY
Marc Campbell,1884,1,0.0,0,2,4,0,1,0,1,0,1,0.25,0.4,0.25,0.65,103,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,PIT
Tom Hughes,1878,13,14.5,0,410,958,89,190,6,79,8,39,0.198,0.231,0.278,0.509,54,132,174.0,3.09,93.0,1.31,399,313,15,2644.0,1368,"BLA,BOS,CHC,MIN,NYY"
Jake Weimer,1873,7,26.9,0,192,540,46,115,1,36,4,29,0.213,0.257,0.243,0.5,51,97,69.0,2.23,125.0,1.168,191,180,2,1472.6666666666667,657,"CHC,CIN,SFG"
Bill Sowders,1864,3,2.1,0,75,237,23,44,0,15,2,9,0.186,0.215,0.198,0.414,26,29,30.0,3.34,95.0,1.335,71,61,3,517.6666666666666,205,"ATL,PIT"
Harry Pyle,1861,2,-0.4,0,5,20,1,3,1,4,1,0,0.15,0.15,0.35,0.5,33,1,4.0,4.54,91.0,1.907,5,5,0,35.666666666666664,9,"CHC,PHI"
