Name,Born,Seasons,From,To,WAR,ASG,G_bat,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,W,L,ERA,ERA+,WHIP,G_pit,GS,SV,IP,SO,Franchises
Moisés Ballesteros,2003,1,2025,2025,0.3,0,16,46,8,12,2,9,0,8,0.261,0.37,0.457,0.827,139,0,0,0.0,0.0,0.0,0,0,0,0.0,0,CHC
Mike Burrows,1999,2,2024,2025,1.4,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,4,3.88,111.0,1.253,23,19,0,97.33333333333333,99,PIT
Ljay Newsome,1996,2,2020,2021,-0.4,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,6.53,66.0,1.451,12,5,0,30.333333333333332,25,SEA
Nick Kingham,1991,2,2018,2019,-1.5,0,31,29,1,2,0,4,0,3,0.069,0.182,0.103,0.285,-19,9,9,6.08,68.0,1.58,43,19,1,131.66666666666666,115,"PIT,TOR"
Giancarlo Stanton,1989,16,2010,2025,46.4,5,1720,6253,940,1612,450,1159,42,802,0.258,0.345,0.527,0.872,137,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"FLA,NYY"
Yasmani Grandal,1988,13,2012,2024,20.2,2,1307,4138,535,977,194,592,13,679,0.236,0.345,0.424,0.769,110,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"CHW,LAD,MIL,PIT,SDP"
Bryan Shaw,1987,14,2011,2024,4.9,0,246,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,43,46,3.96,109.0,1.337,796,2,19,764.3333333333334,681,"ARI,CHW,CLE,COL,SEA"
Darwin Barney,1985,8,2010,2017,8.7,0,814,2536,297,625,31,201,29,155,0.246,0.294,0.341,0.635,73,0,1,9.0,64.0,1.0,1,0,0,1.0,1,"CHC,LAD,TOR"
Víctor Marté,1980,4,2009,2013,-1.5,0,52,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,6,3,7.05,58.0,1.807,82,0,0,83.0,64,"KCR,STL"
Nick Punto,1977,14,2001,2014,15.4,0,1163,3253,421,798,19,263,104,386,0.245,0.323,0.323,0.646,76,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"BOS,LAD,MIN,OAK,PHI,STL"
Carlos Casimiro,1976,1,2000,2000,-0.1,0,2,8,0,1,0,3,0,0,0.125,0.125,0.25,0.375,-6,0,0,0.0,0.0,0.0,0,0,0,0.0,0,BAL
Victor Álvarez,1976,2,2002,2003,-0.4,0,9,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0,2,7.31,56.0,1.625,9,1,0,16.0,10,LAD
Edgardo Alfonzo,1973,12,1995,2006,28.8,1,1506,5385,777,1532,146,744,53,596,0.284,0.357,0.425,0.782,105,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"ANA,NYM,SFG,TOR"
Shane Halter,1969,8,1997,2004,6.3,0,690,1899,201,468,45,197,17,146,0.246,0.303,0.385,0.688,84,0,0,0.0,0.0,2.0,2,0,0,1.0,0,"ANA,DET,KCR,NYM"
José Offerman,1968,15,1990,2005,17.1,2,1651,5681,840,1551,57,537,172,772,0.273,0.36,0.373,0.732,94,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"BOS,KCR,LAD,MIN,NYM,PHI,SEA"
Henry Rodríguez,1967,11,1992,2002,2.4,1,950,3031,389,784,160,523,10,276,0.259,0.321,0.481,0.802,108,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"CHC,FLA,LAD,NYY,WSN"
Eric Anthony,1967,9,1989,1997,-0.2,0,682,1999,249,462,78,269,24,217,0.231,0.305,0.397,0.702,91,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"CIN,COL,HOU,LAD,SEA"
Jeff Blauser,1965,13,1987,1999,20.9,2,1407,4522,691,1187,122,513,65,569,0.262,0.354,0.406,0.76,102,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"ATL,CHC"
Dwight Smith,1963,8,1989,1996,2.6,0,813,1807,244,497,46,226,42,150,0.275,0.333,0.422,0.755,103,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"ANA,ATL,BAL,CHC"
Rey Palacios,1962,3,1988,1990,-0.4,0,101,114,22,22,3,17,2,7,0.193,0.244,0.316,0.56,57,0,0,0.0,0.0,0.0,0,0,0,0.0,0,KCR
John Fishel,1962,1,1988,1988,-0.1,0,19,26,1,6,1,2,0,3,0.231,0.31,0.346,0.656,92,0,0,0.0,0.0,0.0,0,0,0,0.0,0,HOU
Paul Wilmet,1958,1,1989,1989,-0.2,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,15.43,30.0,3.0,3,0,0,2.3333333333333335,1,TEX
Bobby Moore,1958,1,1985,1985,0.2,0,11,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0,0,3.24,109.0,1.68,11,0,0,16.666666666666668,10,SFG
Gary Lucas,1954,8,1980,1987,5.0,0,334,80,2,7,0,5,0,2,0.088,0.11,0.088,0.197,-43,29,44,3.01,119.0,1.263,409,18,63,669.0,410,"ANA,SDP,WSN"
Jerry Remy,1952,10,1975,1984,14.6,1,1154,4455,605,1226,7,329,208,356,0.275,0.327,0.328,0.656,82,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"ANA,BOS"
John Denny,1952,13,1974,1986,32.2,0,270,570,44,97,0,29,9,19,0.17,0.197,0.193,0.39,9,123,108,3.59,105.0,1.336,325,322,0,2148.6666666666665,1146,"CIN,CLE,PHI,STL"
Ed Kranepool,1944,18,1962,1979,4.2,1,1853,5436,536,1418,118,614,15,454,0.261,0.316,0.377,0.693,98,0,0,0.0,0.0,0.0,0,0,0,0.0,0,NYM
Joe Nossek,1940,6,1964,1970,-0.5,0,295,579,47,132,3,53,8,19,0.228,0.252,0.301,0.552,59,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"MIN,OAK,STL"
Rex Johnston,1937,1,1964,1964,0.0,0,14,7,1,0,0,0,0,3,0.0,0.3,0.0,0.3,-6,0,0,0.0,0.0,0.0,0,0,0,0.0,0,PIT
Mike Roarke,1930,4,1961,1964,-0.2,0,194,491,41,113,6,44,0,45,0.23,0.296,0.297,0.594,60,0,0,0.0,0.0,0.0,0,0,0,0.0,0,DET
Bob Brady,1922,2,1946,1947,0.0,0,4,6,0,1,0,0,0,1,0.167,0.286,0.167,0.452,28,0,0,0.0,0.0,0.0,0,0,0,0.0,0,ATL
