Name,Born,Seasons,From,To,WAR,ASG,G_bat,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,W,L,ERA,ERA+,WHIP,G_pit,GS,SV,IP,SO,Franchises
Michael Massey,1998,4,2022,2025,1.4,0,337,1131,113,266,35,131,11,53,0.235,0.276,0.378,0.654,80,0,0,0.0,0.0,0.0,0,0,0,0.0,0,KCR
Grant Holmes,1996,2,2024,2025,2.3,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,6,10,3.83,109.0,1.282,48,28,0,183.33333333333334,193,ATL
Tristan Gray,1996,3,2023,2025,0.0,0,18,33,1,5,1,1,0,3,0.152,0.222,0.273,0.495,41,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"FLA,OAK,TBD"
Ernie Clement,1996,5,2021,2025,5.7,0,380,1119,139,290,21,107,16,50,0.259,0.293,0.369,0.663,85,0,0,13.5,41.0,2.75,4,0,0,4.0,0,"CLE,OAK,TOR"
James Meeker,1995,1,2024,2024,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,2.0,1,0,0,1.0,0,MIL
Drew Anderson,1994,5,2017,2021,-0.4,0,8,4,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,1,3,6.5,69.0,1.579,19,2,0,44.333333333333336,30,"CHW,PHI,TEX"
Daniel Robertson,1994,5,2017,2021,2.5,0,299,801,105,182,18,78,5,111,0.227,0.338,0.345,0.683,88,0,0,0.0,0.0,0.667,3,0,0,3.0,0,"MIL,SFG,TBD"
Edwin Díaz,1994,9,2016,2025,12.5,3,140,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,27,33,2.87,140.0,1.043,499,0,247,494.6666666666667,803,"NYM,SEA"
Brett Marshall,1990,1,2013,2013,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,4.5,92.0,1.667,3,0,0,12.0,7,NYY
Andrew Susac,1990,6,2014,2020,0.3,0,114,278,31,61,7,35,0,25,0.219,0.286,0.371,0.657,81,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"BAL,MIL,PIT,SFG"
Ike Davis,1987,7,2010,2016,5.6,0,665,2076,260,496,81,291,7,294,0.239,0.332,0.414,0.746,107,0,0,0.0,0.0,1.0,2,0,0,2.0,1,"NYM,NYY,OAK,PIT"
Dexter Fowler,1986,14,2008,2021,19.3,1,1460,5040,817,1306,127,517,149,740,0.259,0.358,0.417,0.775,104,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"ANA,CHC,COL,HOU,STL"
Justin Masterson,1985,8,2008,2015,10.1,1,23,33,1,7,0,2,0,0,0.212,0.212,0.212,0.424,18,64,74,4.31,93.0,1.398,258,184,0,1201.0,1004,"BOS,CLE,STL"
Joe Smith,1984,15,2007,2022,12.9,0,191,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,55,34,3.14,129.0,1.19,866,0,30,762.3333333333334,666,"ANA,CHC,CLE,HOU,MIN,NYM,SEA,TOR"
Mike Morse,1982,13,2005,2017,3.8,0,832,2569,296,705,105,355,6,178,0.274,0.331,0.457,0.788,115,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"BAL,FLA,PIT,SEA,SFG,WSN"
