Name,Born,Seasons,From,To,WAR,ASG,G_bat,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,W,L,ERA,ERA+,WHIP,G_pit,GS,SV,IP,SO,Franchises
Greg Garrett,1947,2,1970,1971,2.0,0,34,18,0,2,0,0,0,1,0.111,0.158,0.111,0.269,-23,5,7,2.48,145.0,1.308,34,8,0,83.33333333333333,55,"ANA,CIN"
Bill Butler,1947,7,1969,1977,1.9,0,79,117,1,6,0,6,0,9,0.051,0.118,0.051,0.169,-51,23,35,4.21,88.0,1.465,134,86,1,591.6666666666666,408,"CLE,KCR,MIN"
Don O'Riley,1945,2,1969,1970,-1.6,0,28,6,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,1,1,6.17,61.0,1.757,27,2,1,46.666666666666664,23,KCR
Horacio Piña,1945,8,1968,1978,4.8,0,258,27,1,5,0,1,0,1,0.185,0.214,0.185,0.4,16,23,23,3.25,106.0,1.329,314,7,38,432.0,278,"ANA,CHC,CLE,OAK,PHI,TEX"
Joe Moock,1944,1,1967,1967,0.1,0,13,40,2,9,0,5,0,0,0.225,0.225,0.275,0.5,44,0,0,0.0,0.0,0.0,0,0,0,0.0,0,NYM
Jim Wynn,1942,15,1963,1977,55.8,3,1920,6653,1105,1665,291,964,225,1224,0.25,0.366,0.436,0.802,129,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"ATL,HOU,LAD,MIL,NYY"
Johnny Callison,1939,16,1958,1973,38.4,4,1886,6652,926,1757,226,840,74,650,0.264,0.331,0.441,0.773,115,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"CHC,CHW,NYY,PHI"
Ray Barker,1936,4,1960,1967,-0.2,0,192,318,34,68,10,44,1,29,0.214,0.283,0.359,0.642,84,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"BAL,CLE,NYY"
Chuck Oertel,1931,1,1958,1958,0.0,0,14,12,4,2,1,1,0,1,0.167,0.231,0.417,0.648,79,0,0,0.0,0.0,0.0,0,0,0,0.0,0,BAL
Vern Law,1930,16,1950,1967,32.3,2,516,883,96,191,11,90,1,41,0.216,0.254,0.309,0.563,53,162,147,3.77,101.0,1.284,483,364,13,2672.0,1092,PIT
René Monteagudo,1916,4,1938,1945,-1.0,0,156,270,32,78,0,21,2,29,0.289,0.358,0.33,0.688,94,3,7,6.42,64.0,1.877,46,11,2,168.33333333333334,93,"MIN,PHI"
Clarence Lamar,1915,7,1937,1943,0.6,0,113,372,47,89,2,44,12,30,0.239,0.3,0.309,0.609,79,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"BBB,IC,JRC,SL2"
Otto Huber,1914,1,1939,1939,0.0,0,11,22,2,6,0,3,0,0,0.273,0.273,0.318,0.591,64,0,0,0.0,0.0,0.0,0,0,0,0.0,0,ATL
Lefty Moses,1914,3,1938,1940,0.2,0,15,21,0,3,0,0,1,0,0.143,0.143,0.143,0.286,-17,4,3,4.63,88.0,1.42,15,9,0,56.333333333333336,38,KCM
Jack Bruton,1912,6,1937,1948,0.2,0,53,143,20,34,0,10,0,3,0.238,0.253,0.315,0.568,61,6,7,5.65,82.0,1.558,22,12,0,113.0,51,"BBB,CBE,JRC,PS,SNH"
Bob Barr,1908,1,1935,1935,-0.1,0,2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,3.86,120.0,3.0,2,0,0,2.3333333333333335,0,LAD
Leroy Matlock,1907,10,1929,1938,12.5,3,160,373,58,83,3,39,6,34,0.223,0.289,0.287,0.576,55,53,28,3.82,118.0,1.312,119,89,2,772.3333333333334,383,"HG,PC,SLS,WAP"
Bud Tinning,1906,4,1932,1935,4.3,0,99,130,8,23,0,14,0,4,0.177,0.202,0.215,0.417,16,22,15,3.19,114.0,1.331,99,35,5,405.6666666666667,135,"CHC,STL"
Rusty Saunders,1906,1,1927,1927,-0.1,0,5,15,2,2,0,2,0,3,0.133,0.278,0.2,0.478,23,0,0,0.0,0.0,0.0,0,0,0,0.0,0,OAK
Alex Gaston,1893,6,1920,1929,-1.8,0,215,514,58,112,3,40,5,29,0.218,0.266,0.284,0.55,45,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"BOS,SFG"
Joe Engel,1893,7,1912,1920,-0.1,0,103,104,7,7,0,0,0,14,0.067,0.178,0.067,0.245,-28,17,23,3.38,89.0,1.439,102,53,4,407.3333333333333,151,"CIN,CLE,MIN"
Bill James,1892,4,1913,1919,8.7,0,88,199,18,46,0,9,2,2,0.231,0.243,0.256,0.499,46,37,21,2.28,129.0,1.233,84,60,3,541.6666666666666,253,ATL
George Maisel,1892,4,1913,1922,-0.9,0,168,500,67,141,0,50,18,20,0.282,0.314,0.314,0.628,66,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"BAL,CHC,DET"
Jack Little,1891,1,1912,1912,0.0,0,3,12,2,3,0,0,2,1,0.25,0.357,0.25,0.607,70,0,0,0.0,0.0,0.0,0,0,0,0.0,0,NYY
Reb Russell,1889,9,1913,1923,28.1,0,422,976,141,262,22,172,9,42,0.268,0.309,0.437,0.745,105,80,59,2.33,121.0,1.08,242,148,13,1291.6666666666667,495,"CHW,PIT"
Wally Mattick,1887,3,1912,1918,-0.1,0,169,506,60,115,1,47,19,47,0.227,0.302,0.302,0.604,76,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"CHW,STL"
Walt Doan,1887,2,1909,1910,-1.4,0,10,16,1,3,0,2,0,2,0.188,0.278,0.25,0.528,64,0,1,5.56,49.0,2.206,7,1,0,22.666666666666668,9,CLE
Medric Boucher,1886,1,1914,1914,0.0,0,17,17,2,5,0,2,0,1,0.294,0.333,0.471,0.804,125,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"BLT,PBS"
Charlie Johnson,1885,1,1908,1908,0.1,0,6,16,2,4,0,2,0,1,0.25,0.333,0.375,0.708,123,0,0,0.0,0.0,0.0,0,0,0,0.0,0,PHI
Dode Criss,1885,4,1908,1911,-0.1,0,227,304,38,84,3,47,3,31,0.276,0.349,0.395,0.744,132,3,9,4.38,60.0,1.514,30,9,0,111.0,70,BAL
George McAvoy,1884,1,1914,1914,0.0,0,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0,0,0.0,0.0,0.0,0,0,0,0.0,0,PHI
Pat Hynes,1884,2,1903,1904,-2.0,0,67,257,23,60,0,15,3,3,0.234,0.245,0.284,0.529,72,1,1,5.66,49.0,1.657,6,3,0,35.0,7,"BAL,STL"
Johnny Beall,1882,4,1913,1918,0.5,0,58,170,18,43,3,17,2,11,0.253,0.306,0.341,0.647,95,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"CHW,CIN,CLE,STL"
Frank Schneiberg,1880,1,1910,1910,-0.4,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,63.0,7.0,9.0,1,0,0,1.0,0,LAD
