Name,Born,Years,WAR,ASG,G_bat,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,W,L,ERA,ERA+,WHIP,G_pit,GS,SV,IP,SO,Franchises
Joe Taylor,1926,4,-0.1,0,119,297,34,74,9,31,0,28,0.249,0.313,0.401,0.714,92,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"BAL,CIN,OAK,STL"
Cal Abrams,1924,8,8.5,0,567,1611,257,433,32,138,12,304,0.269,0.386,0.392,0.778,113,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"BAL,CHW,CIN,LAD,PIT"
Felix Guilbe,1924,2,0.1,0,84,286,40,72,0,21,6,27,0.252,0.321,0.318,0.639,76,0,0,0.0,0.0,0.0,0,0,0,0.0,0,BEG
Dick Starr,1921,5,1.0,0,94,97,11,15,0,2,0,10,0.155,0.234,0.196,0.43,13,12,24,5.25,87.0,1.706,93,45,2,344.6666666666667,120,"BAL,MIN,NYY"
Frank Colman,1918,6,0.5,0,271,571,66,130,15,106,0,49,0.228,0.291,0.378,0.669,85,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"NYY,PIT"
Jim Konstanty,1917,11,11.0,1,433,202,7,33,0,14,0,3,0.163,0.179,0.173,0.352,-5,66,48,3.46,112.0,1.296,433,36,76,945.6666666666666,268,"ATL,CIN,NYY,PHI,STL"
Mickey Rocco,1916,4,6.2,0,440,1721,219,444,30,186,6,174,0.258,0.327,0.373,0.7,106,0,0,0.0,0.0,0.0,0,0,0,0.0,0,CLE
Babe Barna,1915,5,0.1,0,207,664,88,154,12,96,9,76,0.232,0.311,0.346,0.657,88,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"BOS,OAK,SFG"
Mort Cooper,1913,11,32.6,4,297,654,50,127,6,68,0,23,0.194,0.223,0.246,0.469,29,128,75,2.97,124.0,1.215,295,239,15,1840.6666666666667,913,"ATL,CHC,SFG,STL"
Bennie Warren,1912,6,2.4,0,377,989,97,217,33,104,1,129,0.219,0.313,0.36,0.673,93,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"PHI,SFG"
Ace Adams,1910,6,6.6,1,302,99,9,12,0,2,0,6,0.121,0.171,0.121,0.293,-16,41,33,3.47,104.0,1.384,302,7,49,552.6666666666666,171,SFG
Mel Ott HOF,1909,22,110.9,12,2730,9456,1859,2876,511,1860,89,1708,0.304,0.414,0.533,0.947,155,0,0,0.0,0.0,0.0,0,0,0,0.0,0,SFG
Orville Armbrust,1908,1,0.5,0,3,4,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,1,0,2.13,208.0,1.026,3,2,0,12.666666666666666,3,MIN
Jack Knott,1907,11,7.5,0,325,482,32,58,0,23,0,27,0.12,0.169,0.127,0.295,-23,82,103,4.97,95.0,1.56,325,192,19,1557.0,484,"BAL,CHW,OAK"
Woody English,1906,12,27.1,1,1261,4746,801,1356,32,422,57,571,0.286,0.366,0.378,0.744,95,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"CHC,LAD"
Mike Powers,1906,2,-0.4,0,38,80,10,19,0,7,2,8,0.238,0.307,0.338,0.644,65,0,0,0.0,0.0,0.0,0,0,0,0.0,0,CLE
