Name,Born,Seasons,From,To,WAR,ASG,G_bat,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,W,L,ERA,ERA+,WHIP,G_pit,GS,SV,IP,SO,Franchises
Vladimir Guerrero Jr.,1999,7,2019,2025,23.6,4,895,3428,519,984,170,546,22,394,0.287,0.364,0.496,0.86,136,0,0,0.0,0.0,0.0,0,0,0,0.0,0,TOR
Rowdy Tellez,1995,8,2018,2025,0.0,0,726,2246,264,522,116,346,5,201,0.232,0.299,0.436,0.735,100,0,0,4.91,103.0,1.909,4,0,0,3.6666666666666665,1,"MIL,PIT,SEA,TOR"
Kyle Funkhouser,1994,2,2020,2021,0.7,0,4,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,8,5,4.2,103.0,1.506,70,2,1,85.66666666666667,75,DET
Jacob Rhame,1993,3,2017,2019,-0.6,0,42,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,2,4,6.23,63.0,1.615,44,0,1,47.666666666666664,40,NYM
Reymin Guduan,1992,4,2017,2021,-0.9,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,7.38,59.0,1.872,43,0,0,39.0,31,"HOU,OAK"
Cory Spangenberg,1991,7,2014,2022,4.1,0,420,1250,154,320,29,119,34,99,0.256,0.315,0.389,0.704,92,0,0,13.5,34.0,3.5,2,0,0,2.0,0,"MIL,SDP,STL"
Spencer Kieboom,1991,2,2016,2018,0.4,0,53,125,17,29,2,13,0,17,0.232,0.326,0.32,0.646,72,0,0,0.0,0.0,0.0,0,0,0,0.0,0,WSN
Michael Blazek,1989,5,2013,2019,-0.5,0,107,6,1,1,0,1,0,0,0.167,0.167,0.333,0.5,30,8,6,4.5,92.0,1.484,113,1,0,128.0,104,"MIL,STL,WSN"
Andrew Triggs,1989,4,2016,2020,0.5,0,1,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,9,10,4.68,90.0,1.313,50,29,0,171.33333333333334,155,"BOS,OAK,SFG"
Mickey Storey,1986,2,2012,2013,0.3,0,26,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,4.19,98.0,1.282,29,0,0,34.333333333333336,40,"HOU,TOR"
Harvey García,1984,1,2007,2007,0.1,0,8,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,4.38,102.0,1.703,8,0,0,12.333333333333334,15,FLA
Brandon League,1983,11,2004,2014,2.7,1,158,2,0,0,0,0,0,1,0.0,0.333,0.0,0.333,5,27,35,3.65,110.0,1.325,498,0,74,532.0,375,"LAD,SEA,TOR"
Rusty Ryal,1983,2,2009,2010,0.2,0,134,266,30,70,6,20,0,14,0.263,0.318,0.402,0.721,89,0,0,0.0,0.0,0.0,0,0,0,0.0,0,ARI
Stephen Drew,1983,12,2006,2017,15.8,0,1268,4403,565,1109,123,524,41,435,0.252,0.318,0.423,0.741,94,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"ARI,BOS,NYY,OAK,WSN"
Brian Wilson,1982,9,2006,2014,5.6,3,386,9,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,24,25,3.3,122.0,1.356,394,0,172,382.0,407,"LAD,SFG"
Curtis Granderson,1981,16,2004,2019,47.4,3,2057,7236,1217,1800,344,937,153,924,0.249,0.337,0.465,0.803,113,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"DET,FLA,LAD,MIL,NYM,NYY,TOR"
Hee-Seop Choi,1979,4,2002,2005,2.6,0,363,915,130,220,40,120,3,141,0.24,0.349,0.437,0.786,106,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"CHC,FLA,LAD"
Abraham Núñez,1976,12,1997,2008,0.9,0,1030,2486,286,601,18,209,38,250,0.242,0.313,0.314,0.627,62,0,0,0.0,0.0,0.0,1,0,0,0.3333333333333333,0,"NYM,PHI,PIT,STL"
Curt Schmidt,1970,1,1995,1995,-0.2,0,11,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,6.97,64.0,2.323,11,0,0,10.333333333333334,7,WSN
Don Florence,1967,1,1995,1995,0.4,0,14,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,3,0,1.5,276.0,1.917,14,0,0,12.0,5,NYM
José Mota,1965,2,1991,1995,-0.4,0,19,38,4,8,0,2,0,2,0.211,0.268,0.211,0.479,35,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"KCR,SDP"
Charles Hudson,1959,7,1983,1989,6.0,0,132,210,11,20,0,10,0,4,0.095,0.12,0.11,0.229,-36,50,60,4.14,93.0,1.348,208,140,2,1007.6666666666666,580,"DET,NYY,PHI"
Juan Espino,1956,4,1982,1986,-0.5,0,49,73,2,16,1,8,0,3,0.219,0.244,0.288,0.531,46,0,0,0.0,0.0,0.0,0,0,0,0.0,0,NYY
Dan Duran,1954,1,1981,1981,-0.3,0,13,16,1,4,0,0,0,1,0.25,0.294,0.25,0.544,63,0,0,0.0,0.0,0.0,0,0,0,0.0,0,TEX
Jay Franklin,1953,1,1971,1971,-0.2,0,3,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0,1,6.35,56.0,1.588,3,1,0,5.666666666666667,4,SDP
