Name,Born,Years,WAR,ASG,G_bat,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,W,L,ERA,ERA+,WHIP,G_pit,GS,SV,IP,SO,Franchises
Jeff Criswell,1999,1,0.6,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,2.75,170.0,1.475,13,0,0,19.666666666666668,27,COL
Luken Baker,1997,2,-0.6,0,54,126,12,25,4,20,1,20,0.198,0.304,0.341,0.645,78,0,0,0.0,0.0,0.0,0,0,0,0.0,0,STL
Yariel Rodríguez,1997,1,-0.1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,8,4.47,90.0,1.315,21,21,0,86.66666666666667,85,TOR
Josh VanMeter,1995,4,-1.2,0,300,743,83,153,19,79,17,88,0.206,0.293,0.347,0.64,71,0,0,39.0,12.0,5.667,3,0,0,3.0,0,"ARI,CIN,PIT"
Luis Castillo,1995,1,0.1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.545,3,0,0,3.6666666666666665,4,DET
Dayán Viciedo,1989,5,1.1,0,483,1675,200,425,66,211,2,95,0.254,0.298,0.424,0.722,97,0,0,0.0,0.0,0.0,0,0,0,0.0,0,CHW
Tyler Holt,1989,3,-1.2,0,156,281,29,64,0,15,7,29,0.228,0.306,0.274,0.58,59,0,0,0.0,0.0,0.0,1,0,0,1.0,0,"CIN,CLE"
Cedric Hunter,1988,2,-0.7,0,19,38,4,4,1,1,0,3,0.105,0.171,0.184,0.355,-4,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"PHI,SDP"
Charles Leesman,1987,2,-0.7,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,9.0,48.0,2.333,9,2,0,18.0,13,CHW
Aaron Bates,1984,1,0.0,0,5,11,2,4,0,2,0,1,0.364,0.417,0.546,0.962,146,0,0,0.0,0.0,0.0,0,0,0,0.0,0,BOS
Steven Shell,1983,2,1.4,0,43,4,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,2,2,2.45,177.0,1.109,43,0,2,55.0,46,WSN
Donnie Murphy,1983,9,-0.9,0,335,838,102,178,33,119,7,64,0.212,0.279,0.395,0.674,81,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"CHC,FLA,KCR,OAK,TEX"
Tike Redman,1977,6,1.0,0,432,1370,167,385,17,117,40,66,0.281,0.315,0.386,0.701,82,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"BAL,PIT"
Ben Davis,1977,7,2.9,0,486,1512,168,358,38,204,9,153,0.237,0.306,0.366,0.672,78,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"CHW,SDP,SEA"
Rob Stanifer,1972,3,-0.9,0,76,8,1,2,0,1,0,0,0.25,0.333,0.375,0.708,91,3,6,5.43,77.0,1.519,82,0,2,106.0,61,"BOS,FLA"
Shad Williams,1971,2,-1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,2,8.59,58.0,2.216,14,2,0,29.333333333333332,26,ANA
Bobby Hughes,1971,2,-0.6,0,133,319,38,76,12,37,1,21,0.238,0.287,0.392,0.678,75,0,0,0.0,0.0,0.0,0,0,0,0.0,0,MIL
Mike Timlin,1966,18,19.0,0,194,7,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,75,73,3.63,125.0,1.283,1058,4,141,1204.3333333333333,872,"BAL,BOS,PHI,SEA,STL,TOR"
John Cangelosi,1963,13,6.1,0,1038,2004,328,501,12,134,154,358,0.25,0.37,0.319,0.69,91,0,0,0.0,0.0,0.75,3,0,0,4.0,0,"CHW,COL,FLA,HOU,NYM,PIT,TEX"
