Name,Born,Years,WAR,ASG,G_bat,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,W,L,ERA,ERA+,WHIP,G_pit,GS,SV,IP,SO,Franchises
Chuck Dobson,1944,9,3.7,0,188,411,30,63,0,34,0,6,0.153,0.166,0.178,0.344,0,74,69.0,3.78,87.0,1.311,202,190,0,1258.3333333333333,758,"ANA,OAK"
Jim Campbell,1943,1,0.0,0,13,13,0,3,0,1,0,0,0.231,0.231,0.231,0.462,23,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,STL
Dave Skaugstad,1940,1,0.3,0,2,1,0,0,0,0,0,1,0.0,0.5,0.0,0.5,47,0,0.0,1.59,273.0,1.765,2,0,0,5.666666666666667,4,CIN
Willie McCovey HOF,1938,22,64.4,6,2588,8197,1229,2211,521,1555,26,1345,0.27,0.374,0.515,0.889,147,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,"OAK,SDP,SFG"
Jim O'Toole,1937,10,18.8,1,271,538,25,67,0,21,1,20,0.125,0.159,0.132,0.291,-20,98,84.0,3.57,106.0,1.294,270,238,4,1615.3333333333333,1039,"CHW,CIN"
Ted Bowsfield,1935,7,2.3,0,235,173,19,22,0,8,0,14,0.127,0.193,0.156,0.349,-5,37,39.0,4.35,93.0,1.446,215,86,6,662.3333333333334,326,"ANA,BOS,CLE,OAK"
Jack Dittmer,1928,6,-0.8,0,395,1218,117,283,24,136,2,77,0.232,0.28,0.333,0.614,66,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,"ATL,DET"
George Strickland,1926,10,6.9,0,971,2824,305,633,36,284,12,361,0.224,0.313,0.311,0.624,70,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,"CLE,PIT"
Cliff Chambers,1922,6,8.2,0,189,294,24,69,3,25,0,16,0.235,0.274,0.31,0.584,55,48,53.0,4.29,96.0,1.432,189,113,1,897.3333333333334,374,"CHC,PIT,STL"
Bill Lillard,1918,2,-0.4,0,80,225,30,55,1,22,0,31,0.244,0.339,0.316,0.654,73,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,OAK
Carrenza Howard,1914,8,-1.7,1,58,102,6,18,0,8,0,3,0.177,0.2,0.206,0.406,11,10,19.0,5.93,77.0,1.647,57,30,2,255.0,106,"IC,NYC"
Emmett Wilson,1913,4,0.1,0,54,182,34,49,1,18,6,16,0.269,0.335,0.379,0.714,102,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,"BBB,CBE,MRS,PC"
Johnny Peacock,1910,9,1.1,0,619,1734,175,455,1,194,14,183,0.262,0.333,0.325,0.659,76,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,"BOS,LAD,PHI"
Kermit Dial,1908,3,-0.4,0,39,122,17,27,0,11,1,8,0.221,0.275,0.287,0.562,59,1,1.0,6.17,66.0,1.6,5,4,0,35.0,14,"CAG,CBB,DTS"
Lou Dials,1904,7,0.8,1,155,507,65,134,7,72,9,53,0.264,0.334,0.398,0.732,99,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,"AG,BBB,CAG,CG,DS,HG,HIL,MRS"
Melvin Sykes,1901,1,-0.2,0,11,27,1,3,0,1,0,3,0.111,0.2,0.148,0.348,-4,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,"HIL,NLG"
Sanford Jackson,1900,9,1.1,0,505,1886,309,492,2,150,57,146,0.261,0.317,0.318,0.634,71,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,"AB2,CAG,HG,MRS"
John Beckwith,1900,12,21.2,0,491,1824,373,636,76,461,40,159,0.349,0.403,0.583,0.986,161,0,1.0,3.22,132.0,1.343,5,1,0,22.333333333333332,12,"BBS,CAG,COG,HBG,HG,ND,NLG,NWB"
Fats Jenkins,1898,11,10.9,2,493,1961,446,653,16,220,100,236,0.333,0.407,0.42,0.828,116,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,"BAG,HBG,NBY,NE,NLG,PC,PS"
Ed Stauffer,1898,2,0.1,0,21,4,1,1,0,0,0,0,0.25,0.25,0.25,0.5,25,0,1.0,5.85,81.0,1.887,21,1,0,32.333333333333336,13,"BAL,CHC"
Doc Dudley,1894,4,4.2,0,216,808,153,243,13,118,42,73,0.301,0.37,0.449,0.819,126,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,SLS
Joe Gingras,1893,1,-0.2,0,2,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0,0.0,6.75,49.0,1.75,2,0,0,4.0,2,KCP
Marty Herrmann,1893,1,0.0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1,0,0,1.0,0,LAD
Milt Watson,1890,4,-1.8,0,90,139,5,16,0,3,0,0,0.115,0.121,0.122,0.244,-26,21,30.0,3.57,79.0,1.354,90,48,0,424.0,113,"PHI,STL"
Del Pratt,1888,13,45.6,0,1836,6826,857,1996,43,979,247,513,0.292,0.345,0.403,0.748,112,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,"BAL,BOS,DET,NYY"
