Name,Born,Seasons,From,To,WAR,ASG,G_bat,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,W,L,ERA,ERA+,WHIP,G_pit,GS,SV,IP,SO,Franchises
Zach Maxwell,2001,1,2025,2025,0.1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,4.5,105.0,1.4,8,0,0,10.0,13,CIN
Colby Thomas,2001,1,2025,2025,0.1,0,48,115,19,26,6,19,2,7,0.226,0.27,0.417,0.687,88,0,0,0.0,0.0,0.0,0,0,0,0.0,0,OAK
Kelvin Cáceres,2000,1,2023,2023,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,6.75,83.0,3.0,2,0,0,1.3333333333333333,1,ANA
Davis Schneider,1999,3,2023,2025,3.1,0,251,700,103,152,32,97,10,103,0.217,0.324,0.411,0.736,105,0,0,0.0,0.0,0.0,0,0,0,0.0,0,TOR
Omar Cruz,1999,1,2025,2025,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,4.91,96.0,1.909,2,0,0,3.6666666666666665,5,SDP
Kyle Garlick,1992,5,2019,2023,0.0,0,158,347,50,78,19,41,1,21,0.225,0.277,0.438,0.715,95,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"LAD,MIN,PHI"
Branden Pinder,1989,2,2015,2016,0.5,0,2,1,0,1,0,1,0,0,1.0,1.0,2.0,3.0,694,0,2,3.45,121.0,1.605,26,0,0,28.666666666666668,26,NYY
Josh Prince,1988,1,2013,2013,-0.1,0,8,8,3,1,0,0,0,1,0.125,0.222,0.25,0.472,30,0,0,0.0,0.0,0.0,0,0,0,0.0,0,MIL
Jemile Weeks,1987,6,2011,2016,1.5,0,260,955,121,243,4,62,41,78,0.254,0.316,0.352,0.667,86,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"BAL,BOS,OAK,SDP"
Héctor Noesí,1987,6,2011,2019,-1.9,0,24,12,0,3,0,0,0,0,0.25,0.25,0.25,0.5,41,12,34,5.51,71.0,1.473,119,57,0,423.0,303,"CHW,FLA,NYY,SEA,TEX"
Ryan Rowland-Smith,1983,5,2007,2014,0.7,0,12,5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,12,17,4.57,91.0,1.422,121,47,2,370.0,229,"ARI,SEA"
Josh Sharpless,1981,2,2006,2007,0.2,0,19,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,4.41,105.0,1.592,20,0,0,16.333333333333332,8,PIT
Juan Lara,1981,2,2006,2007,0.1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,4.26,116.0,1.263,10,0,0,6.333333333333333,4,CLE
Antonio Pérez,1980,4,2003,2006,0.6,0,216,495,62,121,6,43,16,49,0.244,0.32,0.347,0.668,78,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"LAD,OAK,TBD"
Brandon Medders,1980,6,2005,2010,2.5,0,205,5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,16,7,3.61,125.0,1.436,210,0,1,234.66666666666666,175,"ARI,SFG"
Kenny Kelly,1979,2,2000,2005,-0.1,0,26,14,5,4,0,2,1,1,0.286,0.333,0.357,0.69,83,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"CIN,TBD,WSN"
Esteban Germán,1978,10,2002,2011,1.6,0,409,1016,159,284,8,111,34,117,0.28,0.359,0.386,0.745,96,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"KCR,OAK,TEX"
Steve Green,1978,1,2001,2001,0.2,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,3.0,158.0,1.667,1,1,0,6.0,4,ANA
Andrés Torres,1978,9,2002,2013,7.8,0,650,1910,277,462,32,174,77,205,0.242,0.317,0.382,0.699,93,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"DET,NYM,SFG,TEX"
Dan Carlson,1970,4,1996,1999,-0.9,0,13,4,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,1,0,6.7,67.0,1.723,23,0,0,47.0,37,"ARI,SFG,TBD"
Tim Pugh,1967,6,1992,1997,0.3,0,87,109,6,22,0,4,0,4,0.202,0.237,0.239,0.475,28,25,28,4.97,83.0,1.529,107,58,0,416.6666666666667,214,"CIN,DET,KCR"
Jeff Branson,1967,9,1992,2001,-0.1,0,694,1555,173,383,34,156,9,122,0.246,0.3,0.372,0.672,77,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"CIN,CLE,LAD"
Lou Frazier,1965,5,1993,1998,0.4,0,309,548,82,138,1,46,58,59,0.252,0.33,0.297,0.628,65,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"CHW,TEX,WSN"
