Name,Born,Seasons,From,To,WAR,ASG,G_bat,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,W,L,ERA,ERA+,WHIP,G_pit,GS,SV,IP,SO,Franchises
Spencer Strider,1998,4,2021,2024,6.7,1,2,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,32,10,3.47,123.0,1.071,67,54,0,329.6666666666667,495,ATL
Zack Thompson,1997,3,2022,2024,0.7,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,6,10,4.5,94.0,1.356,52,12,1,118.0,119,STL
Diego Castillo,1997,3,2022,2024,-0.7,0,101,269,31,56,11,31,1,16,0.208,0.257,0.383,0.64,79,0,0,36.0,13.0,4.5,2,0,0,2.0,1,"ARI,MIN,PIT"
Jake Woodford,1996,5,2020,2024,-0.8,0,25,18,0,2,0,0,0,0,0.111,0.111,0.111,0.222,-38,10,13,4.88,84.0,1.411,89,25,0,219.66666666666666,145,"CHW,PIT,STL"
Daniel Palka,1991,2,2018,2019,-1.0,0,154,501,60,109,29,71,2,38,0.218,0.277,0.433,0.71,91,0,0,0.0,0.0,0.0,0,0,0,0.0,0,CHW
Justin Hancock,1990,1,2018,2018,0.3,0,10,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0,0,1.46,293.0,1.135,10,0,0,12.333333333333334,11,CHC
Corban Joseph,1988,3,2013,2019,-0.8,0,44,88,7,15,1,10,0,5,0.171,0.213,0.261,0.474,28,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"BAL,NYY,OAK,PIT,SFG"
Casey Lawrence,1987,4,2017,2023,-1.9,0,4,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,4,4,6.75,63.0,1.685,59,2,0,124.0,97,"SEA,STL,TOR"
Josh Thole,1986,8,2009,2016,-1.2,0,478,1336,99,323,9,111,2,135,0.242,0.313,0.306,0.62,73,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"NYM,TOR"
Esmailin Caridad,1983,2,2009,2010,0.2,0,22,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,1,1,3.09,147.0,1.157,22,0,0,23.333333333333332,21,CHC
Anthony Lerew,1982,5,2005,2010,-1.0,0,11,4,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,1,7,7.48,59.0,1.761,20,11,0,61.333333333333336,40,"ATL,KCR"
Jeremy Bonderman,1982,9,2003,2013,4.9,0,15,30,1,1,0,0,0,0,0.033,0.033,0.033,0.067,-82,69,81,4.91,89.0,1.409,225,200,0,1231.0,961,"DET,SEA"
Nate McLouth,1981,10,2005,2014,6.5,1,1045,3257,521,803,101,333,133,366,0.247,0.332,0.41,0.742,98,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"ATL,BAL,PIT,WSN"
Bobby Cramer,1979,2,2010,2011,0.9,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,2,2.53,165.0,1.031,9,4,0,32.0,19,OAK
Chin-Feng Chen,1977,4,2002,2005,0.0,0,19,22,3,2,0,2,0,3,0.091,0.2,0.091,0.291,-18,0,0,0.0,0.0,0.0,0,0,0,0.0,0,LAD
Braden Looper,1974,12,1998,2009,8.2,0,646,186,15,40,0,18,0,10,0.215,0.259,0.258,0.517,37,72,65,4.15,103.0,1.373,670,97,103,1176.0,669,"FLA,MIL,NYM,STL"
Kirk Bullinger,1969,5,1998,2004,-1.0,0,45,4,0,0,0,0,0,1,0.0,0.2,0.0,0.2,-41,2,0,6.53,69.0,1.49,49,0,1,51.0,22,"BOS,HOU,PHI,WSN"
Tim Bogar,1966,9,1993,2001,1.9,0,701,1516,180,345,24,161,13,143,0.228,0.298,0.333,0.631,64,0,0,4.5,127.0,1.5,2,0,0,2.0,1,"HOU,LAD,NYM"
Juan Guzmán,1966,10,1991,2000,24.3,1,15,34,1,4,0,3,0,1,0.118,0.143,0.118,0.261,-33,91,79,4.08,112.0,1.367,240,240,0,1483.3333333333333,1243,"BAL,CIN,TBD,TOR"
Larry Casian,1965,9,1990,1998,1.4,0,92,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,11,13,4.56,98.0,1.508,245,3,2,240.66666666666666,125,"CHC,CHW,CLE,KCR,MIN"
Lenny Harris,1964,18,1988,2005,1.7,0,1903,3924,460,1055,37,369,131,279,0.269,0.318,0.349,0.667,80,0,0,0.0,0.0,0.0,1,0,0,1.0,1,"ARI,CHC,CIN,COL,FLA,LAD,MIL,NYM"
