Name,Born,Years,WAR,ASG,G_bat,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,W,L,ERA,ERA+,WHIP,G_pit,GS,SV,IP,SO,Franchises
Brian Downing,1950,20,51.5,1,2344,7853,1188,2099,275,1073,50,1197,0.267,0.37,0.425,0.796,122,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"ANA,CHW,TEX"
Bob Moose,1947,10,7.6,0,295,397,31,56,1,14,2,31,0.141,0.205,0.176,0.381,9,76,71,3.5,99.0,1.301,289,160,19,1303.3333333333333,827,PIT
Jim Qualls,1946,3,-1.0,0,63,139,13,31,0,10,2,2,0.223,0.238,0.302,0.54,44,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"CHC,CHW,WSN"
Freddie Patek,1944,14,24.1,3,1650,5530,736,1340,41,490,385,523,0.242,0.309,0.324,0.633,79,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"ANA,KCR,PIT"
Jeoff Long,1941,2,-0.7,0,56,83,5,16,1,9,0,10,0.193,0.284,0.241,0.525,47,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"CHW,STL"
Joe Pepitone,1940,12,9.8,3,1397,5097,606,1315,219,721,41,302,0.258,0.301,0.432,0.733,105,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"ATL,CHC,HOU,NYY"
Mike Hershberger,1939,11,2.3,0,1150,3572,398,900,26,344,74,319,0.252,0.317,0.328,0.645,85,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"CHW,MIL,OAK"
Tommy Giordano,1925,1,-0.4,0,11,40,6,7,2,5,0,5,0.175,0.267,0.375,0.642,70,0,0,0.0,0.0,0.0,0,0,0,0.0,0,OAK
Mickey Haefner,1912,8,17.4,0,262,448,28,84,0,24,0,50,0.188,0.269,0.212,0.481,38,78,91,3.5,103.0,1.358,261,179,13,1466.6666666666667,508,"ATL,CHW,MIN"
Jim Winford,1909,6,1.2,0,68,74,3,8,0,1,0,8,0.108,0.195,0.122,0.317,-13,14,18,4.56,88.0,1.527,68,31,2,276.3333333333333,107,"LAD,STL"
Gordon Slade,1904,6,2.0,0,437,1372,147,353,8,123,12,84,0.257,0.307,0.335,0.641,74,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"CIN,LAD,STL"
Jack Tising,1903,1,0.3,0,10,11,0,3,0,0,0,0,0.273,0.273,0.273,0.545,46,1,3,4.21,97.0,1.617,10,6,0,47.0,27,PIT
Jimmy Welsh,1902,6,8.2,0,715,2684,387,778,35,288,37,156,0.29,0.34,0.411,0.751,97,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"ATL,SFG"
Kenny Hogan,1902,3,-0.1,0,4,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"CIN,CLE"
Freddy Spurgeon,1901,4,0.8,0,316,1176,181,335,1,101,23,60,0.285,0.322,0.339,0.661,70,0,0,0.0,0.0,0.0,0,0,0,0.0,0,CLE
Deacon Meyers,1899,6,3.1,0,99,195,28,29,1,13,2,14,0.149,0.221,0.21,0.431,16,25,20,4.65,97.0,1.422,82,48,2,450.6666666666667,201,"DYM,SLS,TT"
Joe Sewell HOF,1898,14,54.7,0,1903,7132,1141,2226,49,1054,74,842,0.312,0.391,0.413,0.804,109,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"CLE,NYY"
Harry Biemiller,1897,2,-0.1,0,28,13,0,0,0,0,0,3,0.0,0.188,0.0,0.188,-47,1,1,4.22,96.0,1.563,28,3,2,64.0,19,"CIN,MIN"
Branch Russell,1895,11,19.9,0,767,2883,633,890,57,492,71,369,0.309,0.391,0.465,0.856,128,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"CL2,KCM,SLS"
Jing Johnson,1894,5,6.1,0,102,174,9,32,2,11,0,15,0.184,0.249,0.264,0.513,49,24,38,3.35,94.0,1.351,100,63,0,539.6666666666666,166,OAK
Arnie Stone,1892,2,-0.1,0,35,16,1,2,0,0,0,0,0.125,0.125,0.125,0.25,-33,4,3,3.77,103.0,1.245,35,2,0,76.33333333333333,9,PIT
Ernie Manning,1890,1,-0.2,0,7,4,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0,0,3.6,79.0,1.4,4,0,0,10.0,3,BAL
Red Massey,1890,1,1.1,0,66,203,20,59,0,18,1,23,0.291,0.363,0.34,0.703,119,0,0,0.0,0.0,0.0,0,0,0,0.0,0,ATL
Ty Helfrich,1890,1,0.0,0,43,104,12,25,0,5,2,15,0.24,0.336,0.298,0.634,87,0,0,0.0,0.0,0.0,0,0,0,0.0,0,BTT
Rube Marquard HOF,1886,18,32.5,0,536,1107,63,198,1,66,6,33,0.179,0.208,0.202,0.41,17,201,177,3.08,103.0,1.237,536,408,20,3306.6666666666665,1593,"ATL,CIN,LAD,SFG"
Pete Wilson,1884,2,0.1,0,21,48,5,5,0,2,0,3,0.104,0.157,0.146,0.303,-4,9,8,3.26,78.0,1.394,20,19,0,132.66666666666666,72,NYY
Charlie Faust,1880,1,0.1,0,2,0,1,0,0,0,2,0,0.0,1.0,0.0,0.0,0,0,0,4.5,91.0,1.0,2,0,0,2.0,0,SFG
Bill Reidy,1873,6,2.6,0,86,245,19,39,0,13,4,15,0.159,0.214,0.167,0.381,10,27,41,4.17,82.0,1.406,79,66,2,601.6666666666666,109,"BAL,LAD,SFG"
Al Maul,1865,15,14.8,0,411,1380,193,332,7,180,44,182,0.241,0.336,0.333,0.669,91,84,80,4.45,96.0,1.526,188,168,1,1440.6666666666667,352,"BLO,LAD,PBB,PHI,PHK,PIT,SFG,WAS"
Dave Rowe,1854,7,1.2,0,347,1458,223,383,8,90,4,42,0.263,0.284,0.376,0.66,108,1,2,9.78,33.0,2.826,4,3,0,23.0,3,"BLO,CBL,CHC,KCC,KCN,SLM"
