Name,Born,Seasons,From,To,WAR,ASG,G_bat,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,W,L,ERA,ERA+,WHIP,G_pit,GS,SV,IP,SO,Franchises
Eddie Leon,1946,8,1968,1975,-1.0,0,601,1862,165,440,24,159,7,156,0.236,0.296,0.313,0.609,69,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"CHW,CLE,NYY"
Mike Hedlund,1946,6,1965,1972,3.3,0,113,138,5,17,0,3,1,3,0.123,0.142,0.123,0.265,-23,25,24,3.56,96.0,1.304,113,62,2,465.6666666666667,211,"CLE,KCR"
Leroy Reams,1943,1,1969,1969,0.0,0,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0,0,0.0,0.0,0.0,0,0,0,0.0,0,PHI
Sal Campisi,1942,3,1969,1971,1.7,0,50,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,3,2,2.7,151.0,1.721,50,0,4,63.333333333333336,35,"MIN,STL"
Vada Pinson,1938,18,1958,1975,54.1,4,2469,9645,1365,2757,256,1169,305,574,0.286,0.327,0.442,0.769,111,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"ANA,CIN,CLE,KCR,STL"
Bill Monbouquette,1936,11,1958,1968,20.8,4,352,582,35,60,0,18,1,49,0.103,0.173,0.112,0.284,-20,114,112,3.68,104.0,1.253,343,263,3,1961.3333333333333,1122,"BOS,DET,NYY,SFG"
Steve Korcheck,1932,4,1954,1959,-1.3,0,58,145,12,23,0,7,0,6,0.159,0.196,0.214,0.41,13,0,0,0.0,0.0,0.0,0,0,0,0.0,0,MIN
Bob Stephenson,1928,1,1955,1955,-0.1,0,67,111,19,27,0,6,2,5,0.243,0.274,0.27,0.544,46,0,0,0.0,0.0,0.0,0,0,0,0.0,0,STL
Cal Cooper,1922,1,1948,1948,-0.3,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,45.0,13.0,6.0,1,0,0,1.0,0,MIN
John Miles,1922,3,1946,1948,-0.1,0,45,161,22,39,4,22,1,15,0.242,0.311,0.385,0.696,91,0,0,0.0,0.0,0.0,0,0,0,0.0,0,CAG
Bobby Wilkins,1922,2,1944,1945,-0.2,0,86,179,29,46,0,7,2,11,0.257,0.304,0.291,0.594,74,0,0,0.0,0.0,0.0,0,0,0,0.0,0,OAK
Luis Olmo,1919,6,1943,1951,1.7,0,462,1629,208,458,29,272,33,88,0.281,0.319,0.405,0.724,102,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"ATL,LAD"
