Name,Born,Seasons,From,To,WAR,ASG,G_bat,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,W,L,ERA,ERA+,WHIP,G_pit,GS,SV,IP,SO,Franchises
Luke Keaschall,2002,1,2025,2025,1.7,0,36,134,19,43,4,22,11,16,0.321,0.405,0.485,0.89,144,0,0,0.0,0.0,0.0,0,0,0,0.0,0,MIN
Robert Hassell III,2001,1,2025,2025,0.0,0,52,149,17,34,3,15,2,7,0.228,0.263,0.336,0.598,68,0,0,0.0,0.0,0.0,0,0,0,0.0,0,WSN
Brooks Baldwin,2000,2,2024,2025,-0.7,0,124,381,37,88,11,39,9,24,0.231,0.277,0.365,0.642,79,0,0,0.0,0.0,0.0,0,0,0,0.0,0,CHW
Zach Agnos,2000,1,2025,2025,-0.5,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,3,6.98,71.0,1.584,28,0,4,29.666666666666668,17,COL
McCade Brown,2000,1,2025,2025,-0.4,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,3,12.54,40.0,2.357,3,3,0,9.333333333333334,6,COL
Jordan Leasure,1998,2,2024,2025,0.2,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,4,8,4.76,88.0,1.414,93,1,9,87.0,98,CHW
Karl Kauffmann,1997,1,2023,2023,-0.8,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,5,8.23,61.0,1.657,11,3,0,35.0,16,COL
Isaiah Campbell,1997,3,2023,2025,-0.9,0,2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,4,2,5.65,73.0,1.512,41,0,1,43.0,42,"BOS,SEA"
Marcus Wilson,1996,1,2022,2022,0.0,0,3,5,1,1,0,0,0,1,0.2,0.333,0.2,0.533,62,0,0,0.0,0.0,0.0,0,0,0,0.0,0,SEA
Jacob Webb,1993,6,2019,2025,2.6,0,68,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,17,14,3.1,134.0,1.221,240,0,7,244.0,233,"ANA,ATL,BAL,TEX"
Nick Gardewine,1993,2,2017,2018,-0.1,0,2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,4.85,104.0,1.846,15,0,0,13.0,7,TEX
Yorman Rodríguez,1992,1,2014,2014,-0.2,0,11,27,3,6,0,2,0,1,0.222,0.276,0.222,0.498,42,0,0,0.0,0.0,0.0,0,0,0,0.0,0,CIN
Jon Moscot,1991,2,2015,2016,-0.6,0,7,8,0,1,0,0,0,0,0.125,0.222,0.125,0.347,-2,1,4,6.82,62.0,1.576,8,8,0,33.0,16,CIN
Adam Cimber,1990,7,2018,2024,2.2,0,77,6,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,25,24,3.75,113.0,1.227,351,0,7,323.6666666666667,244,"ANA,CLE,FLA,SDP,TOR"
Jorge De León,1987,2,2013,2014,-0.2,0,2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,5.19,80.0,1.788,19,0,0,17.333333333333332,10,HOU
Tyson Brummett,1984,1,2012,2012,0.0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,3.0,1,0,0,0.6666666666666666,2,PHI
Jarrod Dyson,1984,12,2010,2021,15.1,0,992,2513,387,612,21,185,266,242,0.244,0.314,0.332,0.645,75,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"ARI,CHW,KCR,PIT,SEA,TOR"
Chris Pettit,1984,2,2009,2011,-0.1,0,11,7,2,2,0,0,0,0,0.286,0.286,0.286,0.571,52,0,0,0.0,0.0,0.0,0,0,0,0.0,0,ANA
Óliver Pérez,1981,20,2002,2022,10.6,0,432,344,14,56,0,15,3,14,0.163,0.194,0.169,0.363,-2,74,94,4.37,96.0,1.431,703,195,5,1465.6666666666667,1546,"ARI,CLE,HOU,NYM,PIT,SDP,SEA,WSN"
