Name,Born,Years,WAR,ASG,G_bat,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,W,L,ERA,ERA+,WHIP,G_pit,GS,SV,IP,SO,Franchises
Tommie Aaron,1939,7,-2.8,0,437,944,102,216,13,94,9,86,0.229,0.292,0.327,0.619,75,0,0,0.0,0.0,0.0,0,0,0,0.0,0,ATL
Bill Pleis,1937,6,-0.5,0,190,50,5,8,0,2,0,5,0.16,0.236,0.16,0.396,10,21,16,4.07,94.0,1.407,190,10,13,280.6666666666667,184,MIN
Dwight Siebler,1937,5,0.4,0,48,27,1,2,0,2,0,3,0.074,0.167,0.074,0.241,-30,4,3,3.45,106.0,1.202,48,8,1,117.33333333333333,71,MIN
Ossie Chavarria,1937,2,0.0,0,124,250,28,52,2,14,4,25,0.208,0.283,0.28,0.563,66,0,0,0.0,0.0,0.0,0,0,0,0.0,0,OAK
Rocky Krsnich,1927,3,-0.2,0,120,275,27,59,3,38,0,30,0.215,0.294,0.335,0.629,70,0,0,0.0,0.0,0.0,0,0,0,0.0,0,CHW
Tony Jacobs,1925,2,-0.1,0,2,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0,0,11.25,42.0,2.5,2,0,0,4.0,3,"CHC,STL"
Eddie Yuhas,1924,2,2.1,0,56,21,0,4,0,1,0,2,0.191,0.261,0.238,0.499,39,12,2,2.87,130.0,1.276,56,2,6,100.33333333333333,39,STL
Rube Novotney,1924,1,0.0,0,22,67,4,18,0,6,0,3,0.269,0.3,0.328,0.628,71,0,0,0.0,0.0,0.0,0,0,0,0.0,0,CHC
Ebba St. Claire,1921,4,0.7,0,164,450,39,112,7,40,2,35,0.249,0.306,0.356,0.662,81,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"ATL,SFG"
Eddie Lukon,1920,4,2.2,0,213,606,64,143,23,70,4,60,0.236,0.307,0.408,0.715,98,0,0,0.0,0.0,0.0,0,0,0,0.0,0,CIN
Buddy Gremp,1919,3,-0.8,0,113,291,19,65,3,31,1,18,0.223,0.271,0.302,0.573,69,0,0,0.0,0.0,0.0,0,0,0,0.0,0,ATL
Leamon Johnson,1916,5,-1.2,0,49,152,16,30,0,12,1,12,0.197,0.265,0.211,0.476,36,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"BBB,MRS,NBY,NE"
William Randall,1915,1,-0.1,0,2,4,1,1,0,1,0,0,0.25,0.25,0.25,0.5,35,0,0,0.0,0.0,0.0,0,0,0,0.0,0,HG
Sonny Boy Jeffries,1914,2,0.8,0,6,6,1,4,0,2,0,2,0.667,0.75,0.667,1.417,273,2,1,3.57,137.0,1.412,6,2,0,22.666666666666668,6,"HG,NBY"
Bob Loane,1914,2,0.0,0,16,31,6,5,0,2,2,6,0.161,0.297,0.258,0.555,55,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"ATL,MIN"
Bob Daughters,1914,1,0.0,0,1,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,BOS
Fabian Gaffke,1913,6,-1.5,0,129,321,43,73,7,42,2,30,0.227,0.298,0.361,0.659,66,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"BOS,CLE"
Pepper Bassett,1910,12,-0.7,6,195,620,61,152,8,88,4,34,0.245,0.286,0.331,0.616,70,1,2,7.27,52.0,1.962,3,2,0,17.333333333333332,7,"BBB,CAG,HG,IC,PC,PS"
Ray Pepper,1905,5,-2.2,0,339,1015,109,285,14,170,2,59,0.281,0.321,0.387,0.708,78,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"BAL,STL"
Vic Frazier,1904,6,-4.3,0,126,186,17,33,0,16,0,13,0.177,0.231,0.194,0.425,14,23,38,5.77,75.0,1.687,126,68,4,579.0,170,"ATL,CHW,DET"
Slim McGrew,1899,3,-0.7,0,10,10,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0,1,6.6,63.0,1.9,10,2,0,30.0,10,MIN
Sam Gibson,1899,5,3.1,0,132,202,17,50,0,14,0,3,0.248,0.259,0.292,0.551,43,32,38,4.28,95.0,1.572,131,75,5,588.3333333333334,208,"DET,NYY,SFG"
Sam Cooper,1897,4,0.4,0,39,78,6,15,1,10,0,4,0.192,0.232,0.295,0.527,37,8,11,5.36,86.0,1.534,37,23,0,203.33333333333334,82,"BAG,BBS,HBG"
Jack Harper,1893,1,0.0,0,3,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0,0,3.12,99.0,0.692,3,0,0,8.666666666666666,3,OAK
Fred Ostendorf,1892,1,-0.3,0,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0,0,22.5,19.0,3.5,1,0,0,2.0,0,NEW
Hal Irelan,1890,1,-0.6,0,67,165,16,39,1,16,3,21,0.236,0.326,0.303,0.629,84,0,0,0.0,0.0,0.0,0,0,0,0.0,0,PHI
Ralph McConnaughey,1889,1,-0.1,0,7,8,0,1,0,0,0,0,0.125,0.125,0.25,0.375,0,0,2,4.85,73.0,1.5,7,2,0,26.0,7,NEW
Merle Adkins,1872,2,-0.9,0,6,12,1,2,0,0,0,0,0.167,0.167,0.167,0.333,-7,1,1,5.0,71.0,1.926,6,3,1,27.0,3,"BOS,NYY"
Bob Langsford,1865,1,-0.1,0,1,4,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0,0,0.0,0.0,0.0,0,0,0,0.0,0,LOU
Ed Coughlin,1861,1,0.0,0,1,4,0,1,0,1,0,0,0.25,0.25,0.25,0.5,57,0,0,inf,6.0,0.0,1,0,0,0.0,0,BUF
