Name,Born,Years,WAR,ASG,G_bat,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,W,L,ERA,ERA+,WHIP,G_pit,GS,SV,IP,SO,Franchises
Ronel Blanco,1993,3,4.5,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,15,7.0,3.31,122.0,1.201,54,36,0,225.66666666666666,225,HOU
Dillon Peters,1992,6,0.1,0,19,21,3,1,0,0,0,2,0.048,0.13,0.048,0.178,-48,13,12.0,5.3,81.0,1.52,59,34,0,198.66666666666666,150,"ANA,FLA,PIT"
Ricardo Rodríguez,1992,2,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1.0,5.49,90.0,1.678,20,0,1,19.666666666666668,14,TEX
Erik González,1991,7,1.1,0,352,842,87,204,11,77,13,38,0.242,0.276,0.34,0.615,65,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,"CLE,FLA,PIT"
John Hicks,1989,6,-0.1,0,264,845,97,199,32,97,4,49,0.236,0.279,0.401,0.68,79,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,"DET,SEA,TEX"
Austin Pruitt,1989,7,0.6,0,7,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,14,16.0,4.54,91.0,1.279,154,17,6,315.0,221,"FLA,HOU,OAK,TBD,TEX"
Matt Adams,1988,10,4.9,0,856,2421,297,624,118,399,4,165,0.258,0.306,0.463,0.769,104,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,"ATL,COL,STL,WSN"
Caleb Gindl,1988,2,0.0,0,65,151,17,35,5,14,2,24,0.232,0.335,0.404,0.739,102,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,MIL
Steve Johnson,1987,4,0.9,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,6,1.0,4.26,99.0,1.382,43,5,0,76.0,86,"BAL,SEA"
Stephen Cardullo,1987,2,-0.3,0,42,84,7,16,2,9,0,6,0.191,0.253,0.321,0.574,42,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,COL
Juan Nicasio,1986,10,2.6,0,300,123,5,15,0,9,0,6,0.122,0.162,0.138,0.3,-21,40,46.0,4.71,92.0,1.429,364,82,9,720.3333333333334,668,"COL,LAD,PHI,PIT,SEA,STL,TEX"
Armando Gabino,1983,2,-0.6,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,15.12,30.0,3.12,7,1,0,8.333333333333334,4,"BAL,MIN"
