Name,Born,Years,WAR,ASG,G_bat,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,W,L,ERA,ERA+,WHIP,G_pit,GS,SV,IP,SO,Franchises
Red Durrett,1921,2,-0.2,0,19,48,5,7,1,1,0,10,0.146,0.293,0.229,0.522,49,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,LAD
Frank Bradley,1918,6,5.6,0,57,110,9,23,1,7,0,1,0.209,0.223,0.282,0.505,48,22,11.0,2.81,141.0,1.06,50,29,2,262.3333333333333,226,KCM
Quincy Smith,1918,2,0.1,0,11,35,7,8,0,0,1,1,0.229,0.25,0.343,0.593,76,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,"BBB,CBE"
Sid Schacht,1918,2,-1.6,0,20,2,2,0,0,0,0,1,0.0,0.333,0.0,0.333,-10,0,2.0,14.34,33.0,3.047,19,1,1,21.333333333333332,12,"ATL,BAL"
A.D. Lewis,1915,1,0.0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,BBB
Buck Ross,1915,10,1.1,0,237,448,24,69,3,27,0,20,0.154,0.194,0.199,0.392,4,56,95.0,4.94,88.0,1.551,237,182,2,1365.3333333333333,360,"CHW,OAK"
Sammy Burton,1913,1,0.2,0,29,92,13,23,1,9,1,10,0.25,0.324,0.337,0.661,98,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,BBB
Joe Stripp,1903,11,14.1,0,1146,4211,575,1238,24,464,50,280,0.294,0.34,0.384,0.724,96,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,"ATL,CIN,LAD,STL"
Javier Pérez,1902,7,1.5,0,216,756,111,204,3,102,15,67,0.27,0.331,0.347,0.678,80,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,"HG,NE,NYC,PBG"
Ernie Maun,1901,2,-1.4,0,36,15,1,5,0,1,0,0,0.333,0.333,0.333,0.667,76,3,5.0,6.19,65.0,1.803,36,5,0,72.66666666666667,14,"PHI,SFG"
Chicken Hawks,1896,2,0.8,0,146,393,68,124,7,60,3,37,0.316,0.377,0.453,0.83,105,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,"NYY,PHI"
Brother Pace,1894,1,0.2,0,24,71,13,16,1,9,0,4,0.225,0.276,0.352,0.628,70,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,PBK
Slim Sallee,1885,14,34.3,0,476,924,57,158,2,52,2,46,0.171,0.213,0.199,0.412,23,174,143.0,2.56,114.0,1.17,476,306,36,2821.6666666666665,836,"CIN,SFG,STL"
Frank Barberich,1882,2,-0.8,0,4,5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,1,1.0,6.23,44.0,1.904,4,2,0,17.333333333333332,1,"ATL,BOS"
Newt Randall,1880,1,-1.0,0,97,336,22,71,0,19,6,27,0.211,0.284,0.271,0.555,73,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,"ATL,CHC"
Ralph Savidge,1879,2,-0.5,0,5,8,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0,1.0,5.76,43.0,1.56,5,1,0,25.0,9,CIN
Lou Criger,1872,16,16.1,0,1012,3202,337,709,11,342,58,309,0.221,0.295,0.29,0.584,72,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,"BAL,BOS,CLV,NYY,STL"
Gene Derby,1860,1,0.1,0,10,31,4,4,0,2,0,1,0.129,0.182,0.129,0.311,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,BLO
Live Taylor,1851,3,-0.8,0,67,257,32,56,0,8,0,7,0.218,0.247,0.257,0.504,68,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,"HAR,PIT,TRT"
Henry Burroughs,1845,2,0.1,0,14,70,12,16,1,14,0,2,0.229,0.25,0.386,0.636,85,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,OLY
