Name,Born,Years,WAR,ASG,G_bat,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,W,L,ERA,ERA+,WHIP,G_pit,GS,SV,IP,SO,Franchises
Cal Quantrill,1995,6,8.2,0,24,27,1,3,0,1,0,1,0.111,0.143,0.111,0.254,-30,43,34,4.07,103.0,1.314,161,123,1,719.0,537,"CLE,COL,SDP"
Brandon Woodruff,1993,7,17.4,2,79,115,5,22,1,7,0,6,0.191,0.231,0.252,0.484,29,46,26,3.1,137.0,1.045,130,115,1,680.3333333333334,788,MIL
Max Kepler,1993,10,20.7,0,1072,3761,554,893,161,508,35,412,0.237,0.318,0.429,0.747,102,0,0,0.0,0.0,0.0,0,0,0,0.0,0,MIN
Jorge López,1993,9,0.4,1,22,7,1,1,0,2,0,0,0.143,0.143,0.286,0.429,12,24,43,5.25,84.0,1.462,282,58,31,533.0,468,"BAL,CHC,FLA,KCR,MIL,MIN,NYM"
Omar Narváez,1992,9,6.2,1,677,2016,228,507,53,203,0,240,0.252,0.335,0.374,0.708,95,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"CHW,MIL,NYM,SEA"
Tim Hill,1990,7,0.1,0,82,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,20,14,3.99,105.0,1.331,382,0,4,322.3333333333333,239,"CHW,KCR,NYY,SDP"
Allen Webster,1990,5,-2.4,0,23,11,1,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,8,6,6.03,69.0,1.6,43,23,1,134.33333333333334,88,"ARI,BOS,CHC"
Liam Hendriks,1989,13,9.3,3,29,2,0,0,0,0,0,1,0.0,0.333,0.0,0.333,4,33,34,3.82,109.0,1.195,476,44,116,650.0,727,"CHW,KCR,MIN,OAK,TOR"
Dayán Díaz,1989,2,-0.9,0,6,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,9.15,47.0,1.932,16,1,0,19.666666666666668,23,"CIN,HOU"
Travis d'Arnaud,1989,12,8.4,1,884,3032,374,753,123,438,3,239,0.248,0.309,0.426,0.735,99,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"ATL,LAD,NYM,TBD"
Jeanmar Gómez,1988,10,0.0,0,219,19,0,3,0,0,0,0,0.158,0.158,0.158,0.316,-10,28,30,4.51,87.0,1.446,315,46,40,555.3333333333334,358,"CHW,CLE,PHI,PIT,TEX"
Jake Brigham,1988,1,-0.5,0,12,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0,1,8.64,45.0,2.16,12,0,0,16.666666666666668,12,ATL
Dalier Hinojosa,1986,2,1.2,0,27,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,1,1.51,270.0,1.093,29,0,0,35.666666666666664,31,"BOS,PHI"
Duke Welker,1986,1,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,2,0,0,1.3333333333333333,1,PIT
Luis Cruz,1984,5,1.4,0,195,610,57,143,7,57,4,24,0.234,0.272,0.316,0.589,62,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"LAD,MIL,NYY,PIT"
Alex Gordon,1984,14,34.4,3,1753,6391,867,1643,190,749,113,684,0.257,0.338,0.41,0.749,102,0,0,19.29,28.0,4.286,2,0,0,2.3333333333333335,0,KCR
