Name,Born,Seasons,From,To,WAR,ASG,G_bat,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,W,L,ERA,ERA+,WHIP,G_pit,GS,SV,IP,SO,Franchises
Don Lee,1934,9,1957,1966,7.5,0,244,226,12,37,1,13,0,6,0.164,0.185,0.204,0.388,7,40,44,3.61,105.0,1.338,244,97,11,828.3333333333334,467,"ANA,CHC,DET,HOU,MIN"
Johnny Blanchard,1933,8,1955,1965,1.5,0,516,1193,137,285,67,200,2,136,0.239,0.317,0.441,0.758,108,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"ATL,NYY,OAK"
Vic Janowicz,1930,2,1953,1954,-1.3,0,83,196,20,42,2,10,0,12,0.214,0.267,0.286,0.552,45,0,0,0.0,0.0,0.0,0,0,0,0.0,0,PIT
Ron Negray,1930,4,1952,1958,1.3,0,66,35,0,3,0,0,0,2,0.086,0.135,0.086,0.221,-39,6,6,4.04,96.0,1.395,66,15,3,162.66666666666666,81,"LAD,PHI"
Amos Watson,1926,3,1945,1947,1.5,0,25,51,3,2,0,1,0,1,0.039,0.058,0.039,0.097,-73,10,5,2.82,144.0,1.433,24,15,0,127.66666666666667,68,"BEG,IC"
Danny Gardella,1920,3,1944,1950,2.5,0,169,543,74,145,24,85,2,57,0.267,0.343,0.433,0.776,115,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"SFG,STL"
Steve Biras,1917,1,1944,1944,0.1,0,2,2,0,2,0,2,0,0,1.0,1.0,1.0,2.0,483,0,0,0.0,0.0,0.0,0,0,0,0.0,0,CLE
Johnny Grodzicki,1917,3,1941,1947,-0.2,0,24,3,0,0,0,0,0,2,0.0,0.4,0.0,0.4,15,2,2,4.43,91.0,1.598,24,1,0,40.666666666666664,20,STL
Preacher Roe,1916,12,1938,1954,29.7,4,333,620,37,68,1,28,0,38,0.11,0.161,0.119,0.281,-24,127,84,3.43,116.0,1.259,333,261,10,1914.3333333333333,956,"LAD,PIT,STL"
Stew Bowers,1915,3,1935,1937,0.1,0,18,5,3,1,0,0,0,1,0.2,0.333,0.2,0.533,37,2,1,4.6,107.0,1.875,15,2,0,29.333333333333332,5,BOS
Bill Conroy,1915,6,1935,1944,-0.8,0,169,452,45,90,5,33,3,77,0.199,0.322,0.274,0.596,66,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"BOS,OAK"
Alejandro Crespo,1915,2,1940,1946,1.4,1,56,221,39,68,5,38,3,18,0.308,0.36,0.466,0.826,121,0,0,0.0,0.0,0.0,0,0,0,0.0,0,NYC
Irving Vincent,1909,1,1934,1934,0.0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1.5,1,0,0,0.6666666666666666,0,PC
Cy Malis,1907,1,1934,1934,0.1,0,1,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0,0,0,4.91,105.0,1.636,1,0,0,3.6666666666666665,1,PHI
Joe Graves,1906,1,1926,1926,-0.2,0,2,5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0,0,0.0,0.0,0.0,0,0,0,0.0,0,CHC
