Name,Born,Seasons,From,To,WAR,ASG,G_bat,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,W,L,ERA,ERA+,WHIP,G_pit,GS,SV,IP,SO,Franchises
Seth Halvorsen,2000,2,2024,2025,0.6,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,2,3.55,132.0,1.303,33,0,4,33.0,33,COL
Nick Nastrini,2000,1,2024,2024,-0.8,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,7,7.07,59.0,1.907,9,8,0,35.666666666666664,26,CHW
Isaac Paredes,1999,6,2020,2025,11.1,1,516,1733,226,411,83,265,2,225,0.237,0.338,0.43,0.768,116,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"CHC,DET,HOU,TBD"
Jordan Westburg,1999,3,2023,2025,3.8,1,198,716,95,184,25,92,10,43,0.257,0.306,0.447,0.753,114,0,0,0.0,0.0,0.0,0,0,0,0.0,0,BAL
Ryan Vilade,1999,2,2021,2024,-0.8,0,20,51,5,8,1,5,0,3,0.157,0.2,0.216,0.416,17,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"COL,DET"
Cade Gibson,1998,1,2025,2025,0.4,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.73,626.0,1.216,6,0,0,12.333333333333334,7,FLA
Jake Irvin,1997,3,2023,2025,4.8,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,17,22,4.3,96.0,1.252,68,68,0,377.0,302,WSN
Ryan Mountcastle,1997,6,2020,2025,8.0,0,611,2283,286,598,93,343,14,167,0.262,0.312,0.44,0.752,111,0,0,0.0,0.0,0.0,0,0,0,0.0,0,BAL
Nick Maton,1997,5,2021,2025,-0.7,0,209,497,63,100,17,67,3,67,0.201,0.301,0.352,0.653,81,0,0,16.2,36.0,2.4,3,0,0,1.6666666666666665,1,"BAL,CHW,DET,PHI"
Joe Colón,1990,1,2016,2016,-0.3,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,3,7.2,65.0,1.9,11,0,0,10.0,10,CLE
Didi Gregorius,1990,11,2012,2022,17.3,0,1077,3893,503,999,134,530,37,254,0.257,0.308,0.42,0.728,95,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"ARI,CIN,NYY,PHI"
Brian Bogusevic,1984,5,2010,2015,2.1,0,321,748,93,178,19,67,24,72,0.238,0.311,0.373,0.684,87,0,0,18.0,31.0,3.0,1,0,0,1.0,0,"CHC,HOU,PHI"
Alex Serrano,1981,1,2008,2008,0.1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,1,0,0,1.0,1,ANA
Alex Ríos,1981,12,2004,2015,27.4,2,1691,6419,885,1778,169,794,253,400,0.277,0.321,0.434,0.755,100,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"CHW,KCR,TEX,TOR"
Walter Young,1980,1,2005,2005,0.1,0,14,33,2,10,1,3,0,4,0.303,0.378,0.424,0.803,115,0,0,0.0,0.0,0.0,0,0,0,0.0,0,BAL
Chad Moeller,1975,11,2000,2010,-3.6,0,501,1392,146,315,29,132,2,108,0.226,0.288,0.352,0.64,63,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"ARI,BAL,CIN,LAD,MIL,MIN,NYY"
Jamey Carroll,1974,12,2002,2013,17.0,0,1275,3671,560,1000,13,265,74,410,0.272,0.349,0.338,0.687,85,0,0,0.0,0.0,0.0,1,0,0,1.0,0,"CLE,COL,KCR,LAD,MIN,WSN"
Shawn Estes,1973,13,1995,2008,10.4,1,296,498,50,79,4,28,1,15,0.159,0.187,0.221,0.408,6,101,93,4.71,90.0,1.529,283,281,0,1678.3333333333333,1210,"ARI,CHC,CIN,COL,NYM,SDP,SFG"
Tyler Green,1970,4,1993,1998,-0.5,1,68,113,6,22,1,10,0,2,0.195,0.205,0.301,0.506,31,18,25,5.16,83.0,1.531,70,68,0,384.0,263,PHI
Kyle Abbott,1968,4,1991,1996,-1.4,0,49,31,2,3,0,2,0,1,0.097,0.125,0.129,0.254,-28,4,17,5.2,72.0,1.543,57,22,0,185.33333333333334,124,"ANA,PHI"
John Valentin,1967,11,1992,2002,32.5,0,1105,3917,614,1093,124,558,47,463,0.279,0.36,0.454,0.814,109,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"BOS,NYM"
Matt Turner,1967,2,1993,1994,2.2,0,55,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,5,5,2.79,156.0,1.252,64,0,1,80.66666666666667,64,"CLE,FLA"
Kevin Tapani,1964,13,1989,2001,29.2,0,142,261,14,40,2,22,1,16,0.153,0.201,0.199,0.401,5,143,125,4.35,101.0,1.307,361,354,0,2265.0,1482,"CHC,CHW,LAD,MIN,NYM"
LaVel Freeman,1963,1,1989,1989,-0.1,0,2,3,1,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0,0,0.0,0.0,0.0,0,0,0,0.0,0,MIL
Jeff McKnight,1963,6,1989,1994,-1.1,0,218,404,45,94,5,34,1,28,0.233,0.284,0.304,0.588,63,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"BAL,NYM"
Rocky Childress,1962,4,1985,1988,0.1,0,61,12,0,2,0,0,0,0,0.167,0.167,0.167,0.333,-6,2,3,4.76,79.0,1.467,61,1,0,107.66666666666667,65,"HOU,PHI"
Bob Fallon,1960,2,1984,1985,0.1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,4.99,87.0,1.859,13,3,0,30.666666666666668,27,CHW
Rafael Ramírez,1958,13,1980,1992,6.0,1,1539,5494,562,1432,53,484,112,264,0.261,0.295,0.342,0.637,77,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"ATL,HOU"
Marc Hill,1952,14,1973,1986,2.3,0,737,1809,146,404,34,198,1,185,0.223,0.295,0.317,0.612,70,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"CHW,SEA,SFG,STL"
Bruce Kison,1950,15,1971,1985,15.1,0,263,404,31,66,3,31,2,16,0.163,0.2,0.248,0.448,24,115,88,3.66,102.0,1.301,380,246,12,1809.6666666666667,1073,"ANA,BOS,PIT"
John Mayberry,1949,15,1968,1982,25.0,2,1620,5447,733,1379,255,879,20,881,0.253,0.36,0.439,0.799,123,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"HOU,KCR,NYY,TOR"
Jerry Morales,1949,15,1969,1983,-2.0,1,1441,4528,516,1173,95,570,37,366,0.259,0.313,0.382,0.695,91,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"CHC,DET,NYM,SDP,STL"
Syd O'Brien,1944,4,1969,1972,-1.5,0,378,1052,135,242,24,100,5,60,0.23,0.273,0.347,0.62,74,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"ANA,BOS,CHW,MIL"
Leo Marentette,1941,2,1965,1969,0.0,0,5,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0,0,4.32,92.0,1.44,5,0,0,8.333333333333334,7,"DET,WSN"
Jesse Hickman,1939,2,1965,1966,-0.2,0,15,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,5.51,67.0,1.102,13,0,0,16.333333333333332,16,OAK
Dal Maxvill,1939,14,1962,1975,7.7,0,1423,3443,302,748,6,252,7,370,0.217,0.293,0.259,0.552,57,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"OAK,PIT,STL"
