Name,Born,Seasons,From,To,WAR,ASG,G_bat,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,W,L,ERA,ERA+,WHIP,G_pit,GS,SV,IP,SO,Franchises
Kyle Teel,2002,1,2025,2025,0.7,0,20,58,7,15,0,4,1,11,0.259,0.38,0.328,0.708,102,0,0,0.0,0.0,0.0,0,0,0,0.0,0,CHW
Elvis Luciano,2000,1,2019,2019,0.1,0,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,1,0,5.35,85.0,1.782,25,0,0,33.666666666666664,27,TOR
Esteury Ruiz,1999,4,2022,2025,-1.1,0,182,545,60,132,7,57,73,25,0.242,0.296,0.341,0.637,81,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"LAD,MIL,OAK,SDP"
José Lopez,1999,1,2023,2023,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,4.5,110.0,2.0,1,0,0,2.0,2,TBD
Meibrys Viloria,1997,5,2018,2023,-0.4,0,103,247,22,49,3,24,0,25,0.198,0.27,0.279,0.549,50,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"CLE,KCR,TEX"
Tzu-Wei Lin,1994,5,2017,2021,-0.3,0,102,193,27,43,1,12,2,21,0.223,0.298,0.316,0.614,64,0,0,27.0,23.0,4.0,1,0,0,1.0,0,"BOS,MIN"
Michael Roth,1990,3,2013,2016,-1.2,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,1,8.5,46.0,1.833,23,1,0,36.0,29,"ANA,TEX"
Mark Canha,1989,11,2015,2025,14.6,0,1094,3539,523,879,121,464,50,410,0.248,0.347,0.409,0.756,111,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"DET,KCR,MIL,NYM,OAK,SFG"
Rob Scahill,1987,7,2012,2018,0.7,0,113,5,0,0,0,0,0,1,0.0,0.167,0.0,0.167,-51,5,7,3.85,112.0,1.443,124,0,0,149.66666666666666,99,"CHW,COL,MIL,PIT"
Fautino De Los Santos,1986,2,2011,2012,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,2,4.21,97.0,1.486,40,0,0,36.333333333333336,46,OAK
Johnny Cueto,1986,17,2008,2024,36.3,2,287,545,27,55,0,18,1,17,0.101,0.129,0.103,0.232,-36,144,113,3.52,116.0,1.21,370,365,0,2256.3333333333335,1857,"ANA,CHW,CIN,FLA,KCR,SFG"
Russ Mitchell,1985,2,2010,2011,-0.9,0,40,93,8,14,4,7,0,7,0.151,0.208,0.29,0.498,37,0,0,0.0,0.0,0.0,0,0,0,0.0,0,LAD
Nate Schierholtz,1984,8,2007,2014,4.6,0,799,2090,238,529,52,228,30,134,0.253,0.302,0.405,0.707,92,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"CHC,PHI,SFG,WSN"
Mitchell Boggs,1984,6,2008,2013,0.4,0,232,27,1,1,0,0,0,0,0.037,0.037,0.074,0.111,-71,13,15,4.12,96.0,1.462,241,15,6,316.6666666666667,233,"COL,STL"
Russell Martin,1983,14,2006,2019,38.7,4,1693,5701,803,1416,191,771,101,792,0.248,0.349,0.397,0.746,101,0,0,0.0,0.0,0.5,4,0,0,4.0,2,"LAD,NYY,PIT,TOR"
Don Kelly,1980,9,2007,2016,-0.2,0,584,1098,148,252,23,98,16,92,0.23,0.294,0.334,0.628,71,0,0,0.0,0.0,0.0,1,0,0,0.3333333333333333,0,"DET,FLA,PIT"
Luis Ugueto,1979,2,2002,2003,0.1,0,74,28,23,6,1,2,10,3,0.214,0.29,0.321,0.612,65,0,0,0.0,0.0,0.0,0,0,0,0.0,0,SEA
Álex González,1977,16,1998,2014,9.4,1,1609,5776,667,1418,157,690,30,300,0.245,0.29,0.395,0.685,79,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"ATL,BOS,CIN,DET,FLA,MIL,TOR"
Rafael Medina,1975,2,1998,1999,-1.2,0,32,19,1,1,0,0,0,0,0.053,0.053,0.053,0.105,-71,3,7,5.96,69.0,1.853,32,12,0,90.66666666666667,65,FLA
