Name,Born,Seasons,From,To,WAR,ASG,G_bat,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,W,L,ERA,ERA+,WHIP,G_pit,GS,SV,IP,SO,Franchises
George Kirby,1998,4,2022,2025,6.7,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,36,29,3.58,106.0,1.11,95,95,0,542.3333333333334,517,SEA
Greg Weissert,1995,4,2022,2025,1.2,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,9,4,3.4,124.0,1.272,129,0,4,129.66666666666666,123,"BOS,NYY"
Raimel Tapia,1994,8,2016,2023,0.9,0,631,1879,261,514,29,201,63,120,0.274,0.318,0.387,0.705,82,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"BOS,COL,MIL,TBD,TOR"
Chris Gittens,1994,1,2021,2021,-0.2,0,16,36,1,4,1,5,0,7,0.111,0.25,0.194,0.444,26,0,0,0.0,0.0,0.0,0,0,0,0.0,0,NYY
Jordan Smith,1986,2,2010,2011,-0.5,0,51,5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,3,2,4.94,83.0,1.548,54,0,1,62.0,39,CIN
Doug Fister,1984,10,2009,2018,19.6,0,65,105,6,16,0,4,0,3,0.152,0.176,0.181,0.357,-1,83,92,3.72,109.0,1.257,242,226,1,1422.3333333333333,970,"BOS,DET,HOU,SEA,TEX,WSN"
William Bergolla,1983,1,2005,2005,-0.4,0,17,38,3,5,0,1,0,0,0.132,0.132,0.132,0.263,-30,0,0,0.0,0.0,0.0,0,0,0,0.0,0,CIN
Tom Mastny,1981,3,2006,2008,-0.7,0,6,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,9,5,6.13,73.0,1.691,80,1,5,94.0,85,CLE
Ben Hendrickson,1981,2,2004,2006,-1.1,0,14,19,0,2,0,0,0,1,0.105,0.15,0.105,0.255,-32,1,10,7.41,60.0,1.851,14,12,0,58.333333333333336,37,MIL
Doug Slaten,1980,7,2006,2012,1.5,0,202,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,7,8,3.52,125.0,1.48,216,0,0,150.66666666666666,110,"ARI,PIT,WSN"
Steve Schmoll,1980,1,2005,2005,-0.5,0,48,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,2,2,5.01,82.0,1.479,48,0,3,46.666666666666664,29,LAD
Chris Coste,1973,4,2006,2009,1.1,0,299,806,83,219,23,108,0,52,0.272,0.329,0.416,0.744,91,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"HOU,PHI"
Dennis Konuszewski,1971,1,1995,1995,-0.2,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,54.0,16.0,12.0,1,0,0,0.3333333333333333,0,PIT
John Frascatore,1970,7,1994,2001,2.6,0,167,17,0,1,0,0,0,1,0.059,0.111,0.059,0.17,-53,20,17,4.0,113.0,1.445,274,5,1,371.0,206,"ARI,STL,TOR"
Brad Cornett,1969,2,1994,1995,-0.4,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,3,7.0,70.0,1.75,14,4,0,36.0,26,TOR
Jeff Gardner,1964,4,1991,1994,-1.5,0,186,492,60,121,1,26,2,53,0.246,0.319,0.327,0.647,74,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"NYM,SDP,WSN"
Dan Plesac,1962,18,1986,2003,16.9,3,441,15,0,1,0,0,0,0,0.067,0.067,0.067,0.133,-65,65,71,3.64,117.0,1.286,1064,14,158,1072.0,1041,"ARI,CHC,MIL,PHI,PIT,TOR"
Tim Pyznarski,1960,1,1986,1986,-0.1,0,15,42,3,10,0,0,2,4,0.238,0.319,0.262,0.581,64,0,0,0.0,0.0,0.0,0,0,0,0.0,0,SDP
Pat Perry,1959,6,1985,1990,2.4,0,182,27,2,4,1,2,0,0,0.148,0.148,0.259,0.407,9,12,10,3.46,112.0,1.194,182,0,6,263.0,131,"CHC,CIN,LAD,STL"
Keith Creel,1959,4,1982,1987,-1.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,5,14,5.6,74.0,1.638,55,24,0,202.66666666666666,80,"CLE,KCR,TEX"
Randy Gomez,1957,1,1984,1984,-0.4,0,14,30,0,5,0,0,0,8,0.167,0.342,0.2,0.542,58,0,0,0.0,0.0,0.0,0,0,0,0.0,0,SFG
Chris Bando,1956,9,1981,1989,1.7,0,498,1284,134,292,27,142,1,138,0.227,0.3,0.329,0.629,73,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"CLE,DET,OAK"
Rusty Kuntz,1955,7,1979,1985,-0.9,0,277,441,75,104,5,38,5,60,0.236,0.328,0.322,0.65,81,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"CHW,DET,MIN"
Gary Allenson,1955,7,1979,1985,1.3,0,416,1061,114,235,19,131,3,130,0.221,0.307,0.325,0.632,71,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"BOS,TOR"
Al Javier,1954,1,1976,1976,-0.3,0,8,24,1,5,0,0,0,2,0.208,0.269,0.208,0.478,43,0,0,0.0,0.0,0.0,0,0,0,0.0,0,HOU
Rob Picciolo,1953,9,1977,1985,-2.1,0,731,1628,192,381,17,109,9,25,0.234,0.246,0.312,0.558,56,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"ANA,MIL,OAK"
Stan Papi,1951,6,1974,1981,-1.2,0,225,523,49,114,7,51,2,24,0.218,0.253,0.331,0.584,60,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"BOS,DET,STL,WSN"
Max León,1950,6,1973,1978,3.8,0,169,52,4,13,0,5,1,1,0.25,0.255,0.25,0.505,36,14,18,3.71,108.0,1.337,162,13,13,310.3333333333333,170,ATL
Steve Brye,1949,9,1970,1978,5.5,0,697,1997,237,515,30,193,16,144,0.258,0.309,0.365,0.674,90,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"MIL,MIN,PIT"
Joe Sparma,1942,7,1964,1970,-0.6,0,185,269,11,32,0,11,0,10,0.119,0.15,0.145,0.295,-15,52,52,3.94,86.0,1.399,183,142,0,864.6666666666666,586,"DET,WSN"
Eddie Ducy,1920,1,1947,1947,-0.1,0,5,11,1,1,0,1,1,2,0.091,0.231,0.091,0.322,-11,0,0,0.0,0.0,0.0,0,0,0,0.0,0,HG
Johnny Taylor,1916,7,1935,1945,6.0,1,54,116,17,25,1,6,0,11,0.216,0.295,0.25,0.545,42,17,17,4.15,120.0,1.429,51,35,1,308.0,232,"NE,NYC,PC"
Jack Matchett,1908,5,1940,1945,2.7,0,88,176,15,46,0,23,0,11,0.261,0.305,0.318,0.623,90,18,13,3.66,105.0,1.385,54,35,4,292.3333333333333,151,KCM
Hank Garrity,1908,1,1931,1931,0.0,0,8,14,0,3,0,2,0,1,0.214,0.267,0.286,0.552,49,0,0,0.0,0.0,0.0,0,0,0,0.0,0,CHW
John Hines,1901,9,1924,1934,3.7,0,356,1177,165,331,7,184,29,94,0.281,0.339,0.378,0.717,96,0,0,0.0,0.0,0.0,0,0,0,0.0,0,CAG
Ernest Gooden,1900,2,1922,1923,-0.9,0,50,180,23,36,0,11,2,17,0.2,0.273,0.228,0.501,36,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"DS,PBK,TT"
Johnny Mann,1898,1,1928,1928,0.1,0,6,6,0,2,0,1,0,1,0.333,0.429,0.333,0.762,104,0,0,0.0,0.0,0.0,0,0,0,0.0,0,CHW
Jack Perrin,1898,1,1921,1921,-0.2,0,4,13,3,3,0,1,0,0,0.231,0.231,0.231,0.462,19,0,0,0.0,0.0,0.0,0,0,0,0.0,0,BOS
Andy Woehr,1896,2,1923,1924,-1.1,0,63,193,14,47,0,20,2,6,0.244,0.274,0.326,0.6,53,0,0,0.0,0.0,0.0,0,0,0,0.0,0,PHI
Vern Spencer,1894,1,1920,1920,-0.6,0,45,140,15,28,0,19,4,11,0.2,0.258,0.257,0.515,48,0,0,0.0,0.0,0.0,0,0,0,0.0,0,SFG
Rollie Naylor,1892,7,1917,1924,7.3,0,183,328,25,58,1,13,0,15,0.177,0.217,0.21,0.428,14,42,83,3.94,101.0,1.504,181,136,0,1010.3333333333334,282,OAK
Eddie Ainsmith,1890,15,1910,1924,6.2,0,1078,3048,300,707,22,320,86,263,0.232,0.296,0.324,0.62,76,0,0,54.0,14.0,6.0,1,0,0,0.3333333333333333,0,"DET,LAD,MIN,SFG,STL"
George Whitted,1890,11,1912,1922,9.4,0,1025,3630,440,978,23,451,116,215,0.269,0.313,0.361,0.675,96,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"ATL,LAD,PHI,PIT,STL"
Horace Leverette,1889,1,1920,1920,0.0,0,3,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0,2,5.23,77.0,2.032,3,2,0,10.333333333333334,0,BAL
Rankin Johnson,1888,3,1914,1918,2.6,0,72,144,7,18,0,10,1,5,0.125,0.16,0.139,0.299,-12,22,30,2.92,101.0,1.227,72,53,2,450.0,169,"BLT,BOS,CHH,STL"
Doc Miller,1883,5,1910,1914,2.8,0,557,1717,184,507,12,237,64,121,0.295,0.343,0.39,0.733,105,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"ATL,CHC,CIN,PHI"
Germany Schaefer,1876,15,1901,1918,9.0,0,1150,3784,495,972,9,309,201,333,0.257,0.319,0.32,0.639,97,0,0,18.0,35.0,3.0,2,0,0,1.0,0,"CHC,CLE,DET,MIN,NEW,NYY"
Lefty Davis,1875,4,1901,1907,3.2,0,348,1296,232,338,3,110,65,167,0.261,0.348,0.322,0.67,99,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"CIN,LAD,NYY,PIT"
Jim McGuire,1875,1,1901,1901,-0.3,0,18,69,4,16,0,3,0,0,0.232,0.232,0.261,0.493,39,0,0,0.0,0.0,0.0,0,0,0,0.0,0,CLE
William Gallagher,1874,1,1896,1896,0.5,0,14,49,9,15,0,6,0,10,0.306,0.433,0.347,0.78,108,0,0,0.0,0.0,0.0,0,0,0,0.0,0,PHI
