Name,Born,Seasons,From,To,WAR,ASG,G_bat,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,W,L,ERA,ERA+,WHIP,G_pit,GS,SV,IP,SO,Franchises
Jasson Domínguez,2003,3,2023,2025,0.7,0,45,152,24,33,7,20,8,21,0.217,0.316,0.401,0.717,103,0,0,0.0,0.0,0.0,0,0,0,0.0,0,NYY
Juan Then,2000,1,2023,2023,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,4.91,83.0,1.455,9,0,0,11.0,5,SEA
Kervin Castro,1999,2,2021,2022,0.4,0,10,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,4.91,88.0,1.519,20,0,0,25.666666666666668,24,"CHC,SFG"
Ty Adcock,1997,2,2023,2024,-0.4,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,5.85,70.0,1.0,15,0,0,20.0,14,"NYM,SEA"
Roberto Osuna,1995,6,2015,2020,8.6,1,20,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,14,18,2.74,159.0,0.905,314,0,155,315.0,348,"HOU,TOR"
Víctor Arano,1995,4,2017,2022,1.6,0,71,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,4,3,3.32,124.0,1.234,116,0,4,116.66666666666667,124,"PHI,WSN"
J.P. Feyereisen,1993,5,2020,2025,2.0,0,23,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,8,5,2.92,139.0,1.052,94,2,5,101.66666666666667,95,"ARI,LAD,MIL,TBD"
Zach Davies,1993,9,2015,2023,8.2,0,143,215,15,27,0,9,0,9,0.126,0.161,0.144,0.305,-18,60,58,4.36,98.0,1.355,200,200,0,1048.3333333333333,785,"ARI,CHC,MIL,SDP"
Josh Collmenter,1986,7,2011,2017,7.3,0,203,154,8,19,0,6,0,9,0.123,0.182,0.136,0.318,-11,38,35,3.64,109.0,1.198,214,78,2,695.3333333333334,494,"ARI,ATL"
Scott Feldman,1983,13,2005,2017,7.9,0,57,95,3,11,1,9,0,0,0.116,0.116,0.179,0.295,-22,78,84,4.43,97.0,1.356,342,204,0,1386.3333333333333,882,"BAL,CHC,CIN,HOU,TEX,TOR"
Seth McClung,1981,6,2003,2009,-0.7,0,89,27,2,5,0,0,0,0,0.185,0.185,0.222,0.407,8,26,34,5.46,80.0,1.578,177,51,6,430.3333333333333,314,"MIL,TBD"
Brad Hennessey,1980,5,2004,2008,2.6,0,149,88,6,20,2,8,1,1,0.227,0.233,0.33,0.563,44,17,23,4.69,94.0,1.489,148,44,20,360.6666666666667,192,SFG
Eliézer Alfonzo,1979,6,2006,2011,0.0,0,193,591,44,142,17,67,1,17,0.24,0.271,0.377,0.648,68,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"COL,SDP,SEA,SFG"
Jon Leicester,1979,3,2004,2007,-0.4,0,36,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,7,6,5.88,77.0,1.5,48,6,0,82.66666666666667,58,"BAL,CHC"
Humberto Cota,1979,7,2001,2007,-0.2,0,196,519,48,121,12,61,0,32,0.233,0.28,0.358,0.639,66,0,0,0.0,0.0,0.0,0,0,0,0.0,0,PIT
Endy Chávez,1978,13,2001,2014,5.0,0,1151,3149,385,849,30,266,106,180,0.27,0.308,0.364,0.672,77,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"BAL,KCR,NYM,PHI,SEA,TEX,WSN"
Dave Borkowski,1977,7,1999,2008,-2.2,0,126,10,0,0,0,1,0,0,0.0,0.0,0.0,0.0,-100,13,20,5.87,77.0,1.559,181,21,1,346.3333333333333,265,"BAL,DET,HOU"
Adrian Brown,1974,9,1997,2006,-0.4,0,447,1134,166,293,11,86,45,109,0.258,0.325,0.34,0.666,72,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"BOS,KCR,PIT,TEX"
Stu Cole,1966,1,1991,1991,0.1,0,9,7,1,1,0,0,0,2,0.143,0.333,0.143,0.476,38,0,0,0.0,0.0,0.0,0,0,0,0.0,0,KCR
Bien Figueroa,1964,1,1992,1992,-0.2,0,12,11,1,2,0,4,0,1,0.182,0.25,0.273,0.523,50,0,0,0.0,0.0,0.0,0,0,0,0.0,0,STL
Carlos Ponce,1959,1,1985,1985,-0.9,0,21,62,4,10,1,5,0,1,0.161,0.169,0.242,0.411,12,0,0,0.0,0.0,0.0,0,0,0,0.0,0,MIL
Ralph Citarella,1958,3,1983,1987,0.5,0,16,5,1,1,0,1,0,0,0.2,0.2,0.2,0.4,14,0,1,4.06,96.0,1.241,21,2,0,44.333333333333336,28,"CHW,STL"
Dámaso García,1957,11,1978,1989,7.2,2,1032,3914,490,1108,36,323,203,130,0.283,0.309,0.371,0.68,84,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"ATL,NYY,TOR,WSN"
Carney Lansford,1957,15,1978,1992,40.4,1,1862,7158,1007,2074,151,874,224,553,0.29,0.343,0.411,0.753,111,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"ANA,BOS,OAK"
Charlie Puleo,1955,8,1981,1989,3.4,0,181,153,12,22,1,10,0,7,0.144,0.181,0.17,0.351,-3,29,39,4.25,90.0,1.485,180,76,2,633.0,387,"ATL,CIN,NYM"
Dan Quisenberry,1953,12,1979,1990,24.6,3,101,6,0,1,0,1,0,1,0.167,0.286,0.167,0.452,32,56,46,2.76,146.0,1.175,674,0,244,1043.3333333333333,379,"KCR,SFG,STL"
Benny Ayala,1951,10,1974,1985,1.0,0,425,865,114,217,38,145,2,71,0.251,0.305,0.434,0.739,104,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"BAL,CLE,NYM,STL"
Burt Hooton,1950,15,1971,1985,35.5,1,452,748,42,92,4,49,0,44,0.123,0.173,0.163,0.337,-6,151,136,3.38,108.0,1.243,480,377,7,2652.0,1491,"CHC,LAD,TEX"
Ted Ford,1947,4,1970,1973,0.7,0,240,711,66,156,17,68,7,51,0.219,0.272,0.333,0.605,76,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"CLE,TEX"
Frank Kreutzer,1939,6,1962,1969,-0.7,0,78,51,2,4,1,3,0,1,0.078,0.096,0.157,0.253,-29,8,18,4.4,81.0,1.438,78,32,1,210.66666666666666,151,"CHW,TEX"
Johnny Werhas,1938,3,1964,1967,-0.1,0,89,168,15,29,2,14,0,24,0.173,0.276,0.25,0.526,57,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"ANA,LAD"
Juan Pizarro,1937,18,1957,1974,19.6,2,496,658,72,133,8,66,1,32,0.202,0.237,0.272,0.509,42,131,105,3.43,104.0,1.325,488,245,28,2034.3333333333333,1522,"ATL,BOS,CHC,CHW,CLE,HOU,OAK,PIT"
Frank Leja,1936,3,1954,1962,-0.7,0,26,23,3,1,0,0,0,1,0.044,0.083,0.044,0.127,-64,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"ANA,NYY"
Felipe Montemayor,1928,2,1953,1955,-0.7,0,64,150,15,26,2,10,1,22,0.173,0.296,0.287,0.582,56,0,0,0.0,0.0,0.0,0,0,0,0.0,0,PIT
Al Smith,1928,15,1946,1964,20.9,3,1556,5499,866,1500,168,701,70,687,0.273,0.358,0.431,0.789,114,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"BAL,BOS,CBE,CHW,CLE"
Al Richter,1927,2,1951,1953,-0.2,0,6,11,1,1,0,0,0,3,0.091,0.286,0.091,0.377,1,0,0,0.0,0.0,0.0,0,0,0,0.0,0,BOS
Joe Lonnett,1927,4,1956,1959,-1.5,0,143,325,22,54,6,27,0,40,0.166,0.259,0.246,0.505,37,0,0,0.0,0.0,0.0,0,0,0,0.0,0,PHI
