Name,Born,Years,WAR,ASG,G_bat,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,W,L,ERA,ERA+,WHIP,G_pit,GS,SV,IP,SO,Franchises
John King,1994,5,1.4,0,5,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,14,13,3.6,118.0,1.327,163,0,0,205.0,137,"STL,TEX"
Jake Brentz,1994,2,-0.9,0,6,0,0,0,0,0,0,1,0.0,1.0,0.0,0.0,0,5,5,5.19,88.0,1.486,80,0,2,69.33333333333333,85,KCR
Andrew Vasquez,1993,5,0.6,0,3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,1,4.24,104.0,1.398,64,0,0,63.666666666666664,63,"DET,LAD,MIN,PHI,SFG,TOR"
Gregory Polanco,1991,8,3.9,0,823,2883,399,696,96,362,98,287,0.241,0.309,0.409,0.718,94,0,0,0.0,0.0,0.0,0,0,0,0.0,0,PIT
Cody Anderson,1990,3,1.0,0,2,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,9,9,4.76,93.0,1.363,39,26,0,160.66666666666666,107,CLE
Derek Law,1990,8,4.1,0,109,2,1,1,0,0,0,0,0.5,0.5,0.5,1.0,177,23,18,3.69,116.0,1.37,322,7,13,346.0,316,"CIN,DET,MIN,SFG,TOR,WSN"
Francisco Arcia,1989,1,0.0,0,40,103,10,21,6,23,1,1,0.204,0.226,0.427,0.654,75,0,0,9.0,52.0,1.667,2,0,0,3.0,0,ANA
Delmon Young,1985,10,3.2,0,1118,4108,473,1162,109,566,36,179,0.283,0.316,0.421,0.737,98,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"BAL,DET,MIN,PHI,TBD"
Brandon Hicks,1985,4,0.2,0,126,294,43,45,11,30,1,40,0.153,0.258,0.31,0.568,61,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"ATL,OAK,SFG"
Robert Mosebach,1984,1,-0.1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,7.71,65.0,3.0,3,0,0,2.3333333333333335,2,ANA
Josh Outman,1984,6,2.7,0,90,24,0,1,0,1,0,1,0.042,0.08,0.042,0.122,-67,16,11,4.43,97.0,1.425,161,32,0,274.3333333333333,226,"CLE,COL,NYY,OAK"
John Hester,1983,4,-0.5,0,93,208,28,45,6,15,1,22,0.216,0.294,0.351,0.645,74,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"ANA,ARI"
Cody Clark,1981,1,-0.3,0,16,38,1,4,0,0,0,1,0.105,0.128,0.132,0.26,-27,0,0,0.0,0.0,0.0,0,0,0,0.0,0,HOU
George Lombard,1975,6,-0.9,0,144,350,55,77,8,21,23,27,0.22,0.281,0.34,0.621,68,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"ATL,DET,TBD,WSN"
Chad Bradford,1974,12,10.1,0,93,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,36,28,3.26,138.0,1.288,561,0,11,515.6666666666666,313,"BAL,BOS,CHW,NYM,OAK,TBD"
Joe Winkelsas,1973,2,-0.4,0,8,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,9.82,50.0,2.727,8,0,0,7.333333333333333,4,"ATL,MIL"
David Bell,1972,12,15.2,0,1403,4826,587,1239,123,589,19,428,0.257,0.32,0.396,0.716,85,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"CLE,MIL,PHI,SEA,SFG,STL"
Mike Durant,1969,1,0.0,0,40,81,15,17,0,5,3,10,0.21,0.294,0.247,0.54,39,0,0,0.0,0.0,0.0,0,0,0,0.0,0,MIN
Mike Draper,1966,1,0.2,0,29,3,1,2,0,0,0,0,0.667,0.667,0.667,1.333,263,1,1,4.25,95.0,1.583,29,1,0,42.333333333333336,16,NYM
Troy Neel,1965,3,3.7,0,230,758,110,212,37,120,5,92,0.28,0.362,0.475,0.837,128,0,0,0.0,0.0,0.0,0,0,0,0.0,0,OAK
Tim Wallach,1957,17,38.5,5,2212,8099,908,2085,260,1125,51,649,0.257,0.316,0.416,0.732,102,0,0,4.5,120.0,1.5,2,0,0,2.0,0,"ANA,LAD,WSN"
Jerry Don Gleaton,1957,12,2.2,0,23,2,0,0,0,0,0,1,0.0,0.333,0.0,0.333,3,15,23,4.25,97.0,1.413,307,16,26,447.3333333333333,265,"CHW,DET,KCR,PIT,SEA,TEX"
Harry Parker,1947,6,2.3,0,121,70,2,6,0,4,0,7,0.086,0.169,0.086,0.255,-27,15,21,3.85,95.0,1.405,124,30,12,315.3333333333333,172,"CLE,NYM,STL"
Curtis Brown,1945,1,-0.1,0,1,4,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0,0,0.0,0.0,0.0,0,0,0,0.0,0,WSN
Frank Carpin,1938,2,-0.2,0,49,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,4,1,3.74,95.0,1.62,49,0,3,45.666666666666664,29,"HOU,PIT"
