Name,Born,Seasons,From,To,WAR,ASG,G_bat,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,W,L,ERA,ERA+,WHIP,G_pit,GS,SV,IP,SO,Franchises
Osleivis Basabe,2000,1,2023,2023,0.4,0,31,87,15,19,1,12,0,6,0.218,0.277,0.31,0.587,63,0,0,0.0,0.0,0.0,0,0,0,0.0,0,TBD
Taylor Trammell,1997,4,2021,2024,-0.5,0,126,311,47,52,15,39,4,40,0.167,0.27,0.363,0.633,79,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"LAD,NYY,SEA"
Alfonso Rivas III,1996,3,2021,2023,0.8,0,167,404,42,98,7,43,7,42,0.243,0.324,0.349,0.673,87,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"CHC,PIT,SDP"
Jhonathan Díaz,1996,4,2021,2024,0.1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,2,4.8,89.0,1.733,16,7,0,45.0,32,"ANA,SEA"
Kyle Zimmer,1991,3,2019,2021,0.0,0,4,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,5,2,5.19,90.0,1.542,83,3,2,95.33333333333333,90,KCR
Zach Lee,1991,2,2015,2017,-0.3,0,4,5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,1,1,8.53,50.0,2.211,4,2,0,12.666666666666666,9,"LAD,SDP"
Steve Hathaway,1990,1,2016,2016,0.1,0,21,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,4.91,93.0,1.636,24,0,0,14.666666666666666,15,ARI
Andy Wilkins,1988,2,2014,2016,-0.7,0,43,67,5,9,1,5,1,5,0.134,0.194,0.224,0.418,17,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"CHW,MIL"
Marcus Walden,1988,3,2018,2020,0.3,0,8,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,9,4,4.5,107.0,1.34,93,0,4,106.0,100,BOS
Luke French,1985,2,2009,2010,0.1,0,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,9,12,4.99,83.0,1.497,31,25,0,155.0,79,"DET,SEA"
Jesse English,1984,1,2010,2010,0.1,0,7,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,3.86,110.0,1.714,7,0,0,7.0,4,WSN
Andy LaRoche,1983,6,2007,2013,-0.2,0,404,1184,133,267,22,113,8,121,0.226,0.304,0.336,0.64,72,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"LAD,OAK,PIT,TOR"
Rickie Weeks,1982,14,2003,2017,11.6,1,1324,4417,733,1087,161,474,132,533,0.246,0.344,0.42,0.764,103,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"ARI,MIL,SEA,TBD"
Justin James,1981,1,2010,2010,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,4.5,100.0,2.75,5,0,0,4.0,5,OAK
Daisuke Matsuzaka,1980,8,2007,2014,9.4,0,45,37,0,7,0,3,0,1,0.189,0.211,0.189,0.4,12,56,43,4.45,99.0,1.402,158,132,1,790.3333333333334,720,"BOS,NYM"
Grant Roberts,1977,5,2000,2004,0.8,0,75,4,1,1,0,0,0,0,0.25,0.25,0.25,0.5,34,4,4,4.25,99.0,1.407,76,1,1,101.66666666666667,77,NYM
Wade Miller,1976,9,1999,2007,14.6,0,132,273,20,47,0,17,0,4,0.172,0.184,0.205,0.389,-1,62,46,4.1,111.0,1.359,151,147,0,894.3333333333334,749,"BOS,CHC,HOU"
Nelson Cruz,1972,6,1997,2003,1.5,0,125,33,1,3,0,2,0,1,0.091,0.118,0.121,0.239,-39,15,23,5.04,93.0,1.372,204,18,2,348.3333333333333,277,"CHW,COL,DET,HOU"
Chan Perry,1972,2,2000,2002,-0.5,0,18,25,1,2,0,3,0,0,0.08,0.08,0.08,0.16,-59,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"CLE,KCR"
Armando Ríos,1971,6,1998,2003,2.7,0,419,1021,135,275,36,167,14,115,0.269,0.342,0.445,0.786,105,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"CHW,PIT,SFG"
Brent Brede,1971,3,1996,1998,-1.7,0,169,422,50,106,5,40,8,46,0.251,0.328,0.358,0.686,80,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"ARI,MIN"
Russ Davis,1969,8,1994,2001,-0.3,0,612,1980,261,508,84,276,16,146,0.257,0.311,0.444,0.755,94,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"NYY,SEA,SFG"
Denny Neagle,1968,13,1991,2003,22.4,2,368,531,31,87,5,44,0,19,0.164,0.194,0.224,0.418,7,124,92,4.24,105.0,1.312,392,286,3,1890.3333333333333,1415,"ATL,CIN,COL,MIN,NYY,PIT"
Bernie Williams,1968,16,1991,2006,49.6,5,2076,7869,1366,2336,287,1257,147,1069,0.297,0.381,0.477,0.858,125,0,0,0.0,0.0,0.0,0,0,0,0.0,0,NYY
Erik Bennett,1968,2,1995,1996,-0.6,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,7.81,67.0,1.771,25,0,1,27.666666666666668,13,"ANA,MIN"
Rod Correia,1967,3,1993,1995,-0.5,0,84,166,19,43,0,12,2,6,0.259,0.309,0.313,0.622,66,0,0,0.0,0.0,0.0,0,0,0,0.0,0,ANA
Steve Curry,1965,1,1988,1988,-0.3,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,8.18,52.0,2.636,3,3,0,11.0,4,BOS
Greg Hibbard,1964,6,1989,1994,5.2,0,32,65,4,6,0,3,0,2,0.092,0.119,0.108,0.227,-38,57,50,4.05,98.0,1.353,165,158,1,990.0,408,"CHC,CHW,SEA"
Rodney McCray,1963,3,1990,1992,0.0,0,67,14,13,3,0,1,9,1,0.214,0.267,0.214,0.481,37,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"CHW,NYM"
Mike Fischlin,1955,10,1977,1987,-1.3,0,517,941,109,207,3,68,24,92,0.22,0.292,0.273,0.565,57,0,0,0.0,0.0,0.0,0,0,0,0.0,0,"ATL,CLE,HOU,NYY"
Billy Smith,1954,1,1981,1981,0.3,0,10,2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,1,1,3.05,110.0,1.113,10,1,1,20.666666666666668,3,HOU
John Harris,1954,3,1979,1981,0.1,0,56,120,13,31,5,16,0,10,0.258,0.313,0.45,0.763,116,0,0,0.0,0.0,0.0,0,0,0,0.0,0,ANA
Tom McMillan,1951,1,1977,1977,-0.2,0,2,5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0,0,0.0,0.0,0.0,0,0,0,0.0,0,SEA
Rick Dempsey,1949,24,1969,1992,25.2,0,1765,4692,525,1093,96,471,20,592,0.233,0.319,0.347,0.666,87,0,0,4.5,106.0,2.0,2,0,0,2.0,0,"BAL,CLE,LAD,MIL,MIN,NYY"
